threshold,precision,recall
0.287,0.674,0.900
0.288,0.675,0.900
0.289,0.676,0.900
0.290,0.678,0.900
0.291,0.679,0.899
0.292,0.679,0.899
0.293,0.680,0.899
0.294,0.681,0.899
0.295,0.683,0.899
0.296,0.683,0.899
0.297,0.684,0.899
0.298,0.686,0.899
0.299,0.686,0.899
0.300,0.687,0.899
0.301,0.689,0.899
0.302,0.690,0.899
0.303,0.691,0.899
0.305,0.692,0.899
0.307,0.692,0.897
0.308,0.693,0.896
0.309,0.694,0.896
0.310,0.695,0.896
0.311,0.697,0.896
0.312,0.700,0.896
0.313,0.701,0.896
0.314,0.701,0.894
0.315,0.702,0.893
0.317,0.703,0.893
0.318,0.704,0.891
0.319,0.704,0.891
0.320,0.705,0.891
0.323,0.706,0.891
0.324,0.707,0.890
0.325,0.707,0.887
0.326,0.709,0.887
0.327,0.710,0.887
0.328,0.711,0.887
0.329,0.712,0.887
0.330,0.711,0.885
0.331,0.712,0.885
0.332,0.713,0.885
0.333,0.715,0.885
0.334,0.715,0.884
0.335,0.716,0.884
0.336,0.716,0.884
0.337,0.717,0.884
0.338,0.717,0.883
0.339,0.719,0.883
0.341,0.719,0.882
0.342,0.722,0.881
0.343,0.724,0.881
0.344,0.724,0.881
0.345,0.725,0.879
0.346,0.726,0.878
0.348,0.726,0.878
0.349,0.727,0.878
0.350,0.728,0.875
0.351,0.730,0.875
0.352,0.732,0.875
0.355,0.733,0.875
0.357,0.733,0.875
0.359,0.735,0.875
0.360,0.736,0.875
0.361,0.735,0.874
0.362,0.736,0.873
0.363,0.738,0.873
0.364,0.738,0.871
0.365,0.738,0.871
0.366,0.738,0.870
0.367,0.739,0.869
0.368,0.739,0.868
0.369,0.741,0.868
0.371,0.743,0.868
0.372,0.742,0.866
0.374,0.743,0.866
0.375,0.744,0.866
0.376,0.746,0.866
0.377,0.747,0.866
0.378,0.747,0.866
0.379,0.748,0.865
0.382,0.749,0.865
0.384,0.749,0.865
0.385,0.751,0.865
0.386,0.752,0.865
0.387,0.753,0.863
0.388,0.755,0.861
0.390,0.755,0.861
0.391,0.757,0.861
0.392,0.758,0.861
0.395,0.758,0.860
0.396,0.759,0.859
0.397,0.759,0.858
0.398,0.761,0.858
0.399,0.762,0.858
0.400,0.763,0.858
0.401,0.764,0.858
0.402,0.765,0.858
0.403,0.767,0.858
0.404,0.767,0.856
0.405,0.770,0.855
0.406,0.771,0.855
0.408,0.771,0.854
0.410,0.772,0.853
0.412,0.772,0.853
0.413,0.772,0.852
0.415,0.775,0.852
0.416,0.775,0.852
0.417,0.776,0.852
0.422,0.777,0.851
0.423,0.778,0.850
0.424,0.779,0.850
0.425,0.780,0.850
0.427,0.782,0.848
0.428,0.783,0.847
0.432,0.783,0.847
0.433,0.784,0.847
0.434,0.785,0.847
0.435,0.787,0.847
0.436,0.788,0.847
0.437,0.789,0.847
0.438,0.789,0.845
0.440,0.790,0.845
0.441,0.791,0.845
0.442,0.791,0.845
0.445,0.793,0.845
0.446,0.794,0.845
0.447,0.795,0.845
0.448,0.797,0.845
0.449,0.797,0.845
0.450,0.798,0.845
0.453,0.799,0.845
0.456,0.799,0.844
0.458,0.799,0.843
0.459,0.798,0.842
0.460,0.798,0.840
0.462,0.800,0.840
0.465,0.801,0.839
0.466,0.802,0.839
0.467,0.804,0.839
0.469,0.805,0.839
0.470,0.806,0.839
0.472,0.809,0.839
0.474,0.810,0.839
0.475,0.810,0.839
0.476,0.811,0.839
0.477,0.813,0.839
0.478,0.815,0.838
0.481,0.817,0.838
0.484,0.816,0.837
0.486,0.817,0.836
0.487,0.818,0.836
0.488,0.819,0.835
0.489,0.821,0.835
0.490,0.824,0.835
0.491,0.825,0.835
0.492,0.826,0.834
0.495,0.827,0.834
0.497,0.828,0.834
0.499,0.829,0.834
0.500,0.830,0.834
0.501,0.830,0.831
0.503,0.830,0.830
0.504,0.831,0.830
0.505,0.832,0.830
0.506,0.834,0.829
0.507,0.835,0.829
0.508,0.836,0.829
0.509,0.836,0.828
0.510,0.838,0.827
0.511,0.838,0.824
0.512,0.838,0.823
0.514,0.837,0.822
0.517,0.837,0.821
0.519,0.838,0.819
0.520,0.839,0.817
0.521,0.840,0.817
0.524,0.840,0.816
0.525,0.840,0.815
0.526,0.841,0.815
0.527,0.844,0.815
0.528,0.845,0.814
0.529,0.846,0.813
0.530,0.847,0.813
0.533,0.847,0.812
0.536,0.848,0.812
0.537,0.849,0.812
0.538,0.850,0.812
0.540,0.851,0.812
0.543,0.854,0.812
0.544,0.854,0.811
0.545,0.855,0.811
0.548,0.856,0.811
0.549,0.857,0.811
0.550,0.858,0.811
0.551,0.859,0.811
0.553,0.860,0.811
0.557,0.863,0.811
0.559,0.863,0.808
0.560,0.863,0.807
0.561,0.864,0.807
0.563,0.865,0.807
0.564,0.866,0.807
0.565,0.867,0.807
0.566,0.867,0.805
0.568,0.868,0.805
0.569,0.869,0.805
0.570,0.868,0.804
0.571,0.868,0.803
0.572,0.868,0.801
0.573,0.868,0.800
0.575,0.870,0.800
0.576,0.872,0.799
0.577,0.873,0.799
0.578,0.874,0.799
0.579,0.875,0.799
0.580,0.879,0.799
0.584,0.880,0.798
0.585,0.881,0.798
0.586,0.882,0.797
0.588,0.882,0.796
0.591,0.883,0.796
0.595,0.884,0.796
0.596,0.885,0.796
0.597,0.886,0.796
0.598,0.886,0.794
0.600,0.888,0.794
0.601,0.890,0.792
0.602,0.891,0.792
0.604,0.893,0.792
0.605,0.892,0.791
0.606,0.897,0.791
0.607,0.897,0.790
0.608,0.898,0.789
0.612,0.899,0.789
0.613,0.899,0.788
0.614,0.900,0.788
0.615,0.901,0.788
0.616,0.903,0.788
0.622,0.904,0.788
0.623,0.905,0.788
0.625,0.905,0.786
0.626,0.907,0.784
0.629,0.907,0.783
0.630,0.908,0.782
0.631,0.908,0.781
0.632,0.909,0.780
0.633,0.910,0.780
0.634,0.910,0.778
0.636,0.913,0.778
0.641,0.914,0.778
0.642,0.914,0.777
0.643,0.915,0.776
0.644,0.915,0.775
0.645,0.915,0.774
0.647,0.916,0.774
0.648,0.917,0.773
0.649,0.917,0.772
0.650,0.918,0.769
0.651,0.919,0.769
0.653,0.919,0.768
0.654,0.919,0.766
0.655,0.919,0.765
0.657,0.920,0.765
0.659,0.921,0.761
0.661,0.921,0.760
0.662,0.921,0.759
0.663,0.922,0.759
0.667,0.923,0.758
0.668,0.923,0.755
0.669,0.924,0.755
0.670,0.925,0.754
0.671,0.925,0.753
0.672,0.926,0.752
0.674,0.928,0.751
0.675,0.928,0.750
0.676,0.927,0.747
0.677,0.927,0.746
0.678,0.929,0.746
0.679,0.928,0.745
0.680,0.930,0.744
0.683,0.931,0.744
0.684,0.931,0.741
0.686,0.930,0.737
0.688,0.932,0.736
0.690,0.933,0.735
0.698,0.934,0.735
0.700,0.934,0.731
0.701,0.935,0.731
0.703,0.935,0.730
0.706,0.935,0.729
0.707,0.938,0.727
0.709,0.939,0.727
0.710,0.939,0.726
0.714,0.939,0.724
0.715,0.939,0.722
0.716,0.939,0.719
0.717,0.938,0.718
0.718,0.943,0.718
0.719,0.943,0.716
0.720,0.944,0.716
0.721,0.945,0.716
0.723,0.945,0.715
0.726,0.945,0.714
0.728,0.945,0.713
0.730,0.945,0.711
0.731,0.946,0.711
0.732,0.946,0.710
0.733,0.946,0.708
0.734,0.948,0.707
0.736,0.947,0.704
0.737,0.949,0.703
0.738,0.949,0.701
0.739,0.949,0.700
0.741,0.949,0.698
0.745,0.948,0.695
0.746,0.950,0.695
0.747,0.951,0.695
0.749,0.951,0.693
0.752,0.953,0.693
0.753,0.953,0.692
0.754,0.952,0.690
0.755,0.952,0.688
0.756,0.952,0.687
0.757,0.955,0.685
0.758,0.957,0.683
0.759,0.956,0.681
0.760,0.960,0.681
0.761,0.959,0.680
0.762,0.959,0.679
0.763,0.961,0.679
0.764,0.964,0.675
0.765,0.964,0.673
0.767,0.965,0.668
0.768,0.965,0.667
0.769,0.965,0.666
0.770,0.965,0.662
0.773,0.965,0.661
0.775,0.965,0.660
0.776,0.965,0.659
0.777,0.966,0.657
0.778,0.966,0.653
0.779,0.966,0.651
0.780,0.966,0.649
0.781,0.967,0.648
0.783,0.967,0.646
0.784,0.967,0.645
0.785,0.969,0.644
0.786,0.971,0.643
0.787,0.970,0.641
0.788,0.970,0.639
0.789,0.972,0.637
0.790,0.972,0.636
0.791,0.972,0.634
0.794,0.972,0.633
0.795,0.972,0.631
0.797,0.972,0.630
0.798,0.972,0.628
0.800,0.972,0.627
0.801,0.971,0.626
0.802,0.971,0.625
0.803,0.971,0.623
0.804,0.971,0.622
0.805,0.971,0.621
0.806,0.971,0.620
0.807,0.973,0.618
0.809,0.973,0.615
0.810,0.973,0.614
0.811,0.973,0.613
0.812,0.973,0.611
0.813,0.973,0.610
0.814,0.972,0.606
0.815,0.972,0.603
0.816,0.972,0.600
0.817,0.972,0.599
0.818,0.972,0.597
0.819,0.972,0.596
0.820,0.974,0.594
0.822,0.974,0.591
0.824,0.973,0.590
0.825,0.973,0.588
0.826,0.973,0.587
0.827,0.973,0.582
0.831,0.973,0.579
0.832,0.973,0.577
0.833,0.973,0.572
0.834,0.972,0.568
0.838,0.972,0.567
0.839,0.972,0.564
0.840,0.972,0.561
0.841,0.972,0.560
0.844,0.972,0.558
0.845,0.972,0.557
0.846,0.972,0.555
0.849,0.972,0.552
0.852,0.972,0.550
0.853,0.971,0.546
0.854,0.971,0.542
0.855,0.973,0.542
0.856,0.973,0.540
0.857,0.973,0.537
0.858,0.975,0.535
0.859,0.975,0.534
0.860,0.975,0.533
0.864,0.975,0.527
0.867,0.974,0.525
0.868,0.974,0.522
0.869,0.974,0.521
0.870,0.974,0.520
0.871,0.974,0.518
0.873,0.974,0.517
0.874,0.974,0.514
0.875,0.974,0.512
0.876,0.974,0.510
0.877,0.974,0.509
0.879,0.974,0.506
0.881,0.973,0.504
0.882,0.973,0.503
0.883,0.973,0.499
0.884,0.973,0.498
0.885,0.973,0.496
0.886,0.973,0.495
0.887,0.973,0.491
0.888,0.977,0.490
0.889,0.979,0.490
0.890,0.982,0.488
0.891,0.981,0.486
0.892,0.981,0.482
0.893,0.981,0.481
0.894,0.981,0.476
0.895,0.981,0.475
0.897,0.981,0.474
0.898,0.981,0.472
0.900,0.981,0.471
0.901,0.981,0.470
0.902,0.981,0.467
0.903,0.981,0.463
0.904,0.980,0.460
0.905,0.980,0.459
0.906,0.980,0.457
0.908,0.982,0.449
0.909,0.982,0.448
0.910,0.982,0.443
0.911,0.985,0.440
0.912,0.984,0.437
0.914,0.984,0.434
0.915,0.987,0.432
0.916,0.987,0.429
0.917,0.989,0.421
0.918,0.989,0.418
0.919,0.989,0.412
0.920,0.989,0.406
0.921,0.989,0.404
0.922,0.989,0.400
0.923,0.988,0.394
0.924,0.988,0.385
0.925,0.988,0.377
0.926,0.988,0.372
0.927,0.988,0.367
0.928,0.988,0.366
0.929,0.991,0.363
0.930,0.990,0.358
0.931,0.990,0.352
0.932,0.990,0.349
0.933,0.990,0.343
0.934,0.990,0.332
0.935,0.990,0.327
0.936,0.989,0.324
0.937,0.989,0.318
0.938,0.993,0.312
0.939,0.993,0.304
0.940,0.992,0.302
0.941,0.992,0.296
0.942,0.992,0.284
0.943,0.992,0.280
0.944,0.992,0.273
0.945,0.991,0.264
0.946,0.991,0.258
0.947,0.991,0.253
0.948,0.991,0.246
0.949,0.995,0.237
0.950,1.000,0.232
0.951,1.000,0.228
0.952,1.000,0.219
0.953,1.000,0.212
0.954,1.000,0.202
0.955,1.000,0.197
0.956,1.000,0.184
0.957,1.000,0.169
0.958,1.000,0.164
0.959,1.000,0.158
0.960,1.000,0.147
0.961,1.000,0.139
0.962,1.000,0.130
0.963,1.000,0.119
0.964,1.000,0.115
0.965,1.000,0.111
0.966,1.000,0.101
0.967,1.000,0.092
0.968,1.000,0.083
0.969,1.000,0.071
0.970,1.000,0.065
0.971,1.000,0.060
0.972,1.000,0.056
0.973,1.000,0.048
0.974,1.000,0.041
0.975,1.000,0.039
0.976,1.000,0.033
0.977,1.000,0.029
0.978,1.000,0.026
0.979,1.000,0.017
0.980,1.000,0.014
0.981,1.000,0.009
0.982,1.000,0.008
0.983,1.000,0.003
0.990,1.000,0.001
