recording,iou_max,iou_0.60,iou_0.80
N100056,0.7917,0.8167,0.5833
N106834-edited,0.8667,0.8095,0.8667
N128080,0.4811,0.4811,0.6185
N16767-edited,0.9667,0.9000,1.0000
N22158-edited,0.9048,0.8663,0.9048
N22971-edited,0.6520,0.5827,0.6520
N23417-edited,0.8098,0.8376,0.8333
N23493-edited,0.7467,0.7467,0.6733
N250512,0.7556,0.4479,0.5556
N3568,0.8462,0.8516,0.8814
N37429,0.4333,0.5026,0.4667
N38268,0.8910,0.9280,0.8910
N38516,0.8956,0.8636,0.8489
N39306,0.8895,0.7937,0.8688
N41312-edited,0.7500,0.7738,0.6667
N41564,0.8333,0.8333,0.1667
N44587-edited,0.6667,0.7778,0.5556
N460551,0.5417,0.1905,1.0000
N488610,0.6250,0.8750,0.6250
N500951,0.7222,0.5417,0.8333
N6682-edited,0.8785,0.8207,0.7812
N737290,0.6190,0.4149,0.7333
N98507,0.8889,0.6944,0.5556
XC109766,1.0000,0.9583,0.8831
XC109767,0.9635,0.9498,0.9045
XC109769,0.9444,0.9595,0.9320
XC114554,0.8750,1.0000,0.7500
XC134014-edited,0.5071,0.5250,0.4683
XC144024,0.6667,0.7500,0.6667
XC159959,0.8071,0.8929,0.6714
XC172881,0.8333,0.8333,0.5000
XC215372,0.8889,0.8889,0.7222
XC271361,0.4222,0.4333,0.3111
XC801172-edited,0.9583,0.8333,0.9583
XC812929,0.8369,0.6733,0.5464
