recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,0.8667,0.8244,0.8250
N128080,0.5000,0.5000,0.5185
N16767-edited,0.8556,0.8556,0.8222
N22158-edited,0.8663,0.8482,0.9008
N22971-edited,0.7464,0.6750,0.6742
N23417-edited,0.8561,0.8629,0.8778
N23493-edited,0.7133,0.7800,0.5733
N250512,0.6806,0.5472,0.5556
N3568,0.8901,0.7750,0.9231
N37429,0.5667,0.6389,0.5000
N38268,0.8926,0.8350,0.8917
N38516,0.8992,0.9036,0.8933
N39306,0.8393,0.8085,0.8479
N41312-edited,0.8333,0.7738,0.7500
N41564,0.8750,0.4143,0.1667
N44587-edited,0.4444,0.6667,0.3889
N460551,0.8750,0.5833,0.8750
N488610,0.7083,0.8542,0.6250
N500951,0.6667,0.6667,0.5000
N6682-edited,0.9410,0.6832,0.7812
N737290,0.3937,0.3958,0.6667
N98507,0.7778,0.8889,0.3889
XC109766,0.9583,0.9583,0.9091
XC109767,0.9498,0.9237,0.9097
XC109769,0.9777,0.8069,0.9456
XC114554,1.0000,0.8889,0.7500
XC134014-edited,0.5071,0.6500,0.3968
XC144024,0.7500,0.6000,0.6667
XC159959,0.7714,0.8929,0.7714
XC172881,0.6250,0.5556,0.7143
XC215372,0.8889,0.8889,0.6111
XC271361,0.4444,0.5556,0.1667
XC801172-edited,0.9583,0.8750,0.9107
XC812929,0.7684,0.5972,0.6041
