recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,0.8958,0.8958,0.8667
N128080,0.5111,0.5000,0.7188
N16767-edited,0.8963,0.8690,0.9667
N22158-edited,0.8028,0.8028,0.9048
N22971-edited,0.6992,0.6992,0.6742
N23417-edited,0.8598,0.8598,0.8778
N23493-edited,0.7467,0.7467,0.6067
N250512,0.5694,0.5694,0.5556
N3568,0.8901,0.8901,0.9583
N37429,1.0000,0.8333,0.6250
N38268,0.8926,0.8623,0.9213
N38516,0.8878,0.8700,0.8911
N39306,0.8200,0.7792,0.8702
N41312-edited,0.7500,0.7500,0.7500
N41564,0.8333,0.8333,0.1667
N44587-edited,0.4444,0.4444,0.3333
N460551,0.8750,0.8750,1.0000
N488610,0.8542,0.9167,0.6250
N500951,0.5000,0.5000,0.6667
N6682-edited,0.8910,0.8688,0.7812
N737290,0.5000,0.5000,0.7000
N98507,0.8889,0.8889,0.5000
XC109766,0.9583,0.9583,0.7922
XC109767,0.9359,0.9237,0.8382
XC109769,0.9444,0.9444,0.9206
XC114554,1.0000,1.0000,0.7500
XC134014-edited,0.6818,0.6818,0.3968
XC144024,0.7500,0.7500,0.6667
XC159959,0.8929,0.8929,0.8012
XC172881,0.5000,0.5000,0.0000
XC215372,0.8889,0.8889,0.6111
XC271361,0.2667,0.2667,0.2500
XC801172-edited,0.9583,0.9583,0.8611
XC812929,0.8160,0.8075,0.6041
