threshold,iou
0.0000,0.2381
0.0100,0.2381
0.0200,0.2233
0.0300,0.2032
0.0400,0.2355
0.0500,0.2810
0.0600,0.2932
0.0700,0.3098
0.0800,0.3288
0.0900,0.3178
0.1000,0.3453
0.1100,0.3562
0.1200,0.3779
0.1300,0.3972
0.1400,0.4102
0.1500,0.4202
0.1600,0.4178
0.1700,0.4283
0.1800,0.4394
0.1900,0.4406
0.2000,0.4366
0.2100,0.4753
0.2200,0.4694
0.2300,0.4850
0.2400,0.5044
0.2500,0.5111
0.2600,0.5287
0.2700,0.5282
0.2800,0.5382
0.2900,0.5486
0.3000,0.5494
0.3100,0.5655
0.3200,0.5836
0.3300,0.5838
0.3400,0.5872
0.3500,0.5822
0.3600,0.6088
0.3700,0.6146
0.3800,0.6207
0.3900,0.6260
0.4000,0.6482
0.4100,0.6665
0.4200,0.6732
0.4300,0.6895
0.4400,0.7169
0.4500,0.7315
0.4600,0.7357
0.4700,0.7428
0.4800,0.7411
0.4900,0.7500
0.5000,0.7483
0.5100,0.7509
0.5200,0.7560
0.5300,0.7592
0.5400,0.7524
0.5500,0.7511
0.5600,0.7517
0.5700,0.7736
0.5800,0.7879
0.5900,0.7840
0.6000,0.7885
0.6100,0.7934
0.6200,0.7981
0.6300,0.7930
0.6400,0.7885
0.6500,0.7687
0.6600,0.7712
0.6700,0.7730
0.6800,0.7780
0.6900,0.7710
0.7000,0.7643
0.7100,0.7639
0.7200,0.7624
0.7300,0.7559
0.7400,0.7523
0.7500,0.7495
0.7600,0.7393
0.7700,0.7332
0.7800,0.7309
0.7900,0.7286
0.8000,0.7213
0.8100,0.7222
0.8200,0.7127
0.8300,0.7004
0.8400,0.6922
0.8500,0.6942
0.8600,0.6701
0.8700,0.6639
0.8800,0.6605
0.8900,0.6401
0.9000,0.6112
0.9100,0.5836
0.9200,0.5443
0.9300,0.4825
0.9400,0.3891
0.9500,0.2905
0.9600,0.2144
0.9700,0.1165
0.9800,0.0559
0.9900,0.0000
1.0000,0.0000
