threshold,true positive rate,false positive rate
0.343,0.798,0.005
0.345,0.796,0.005
0.347,0.794,0.005
0.351,0.794,0.005
0.352,0.793,0.005
0.356,0.793,0.004
0.358,0.792,0.004
0.361,0.792,0.004
0.362,0.791,0.004
0.365,0.791,0.004
0.373,0.791,0.004
0.375,0.790,0.004
0.376,0.790,0.004
0.377,0.790,0.004
0.378,0.789,0.004
0.379,0.788,0.004
0.382,0.785,0.004
0.383,0.785,0.004
0.385,0.784,0.004
0.395,0.784,0.004
0.401,0.783,0.004
0.403,0.783,0.004
0.405,0.782,0.004
0.407,0.780,0.004
0.408,0.780,0.004
0.418,0.780,0.004
0.421,0.780,0.004
0.427,0.780,0.003
0.428,0.780,0.003
0.431,0.780,0.003
0.444,0.776,0.003
0.447,0.774,0.003
0.450,0.774,0.003
0.452,0.773,0.003
0.453,0.773,0.003
0.455,0.770,0.003
0.459,0.770,0.003
0.460,0.769,0.003
0.468,0.769,0.003
0.473,0.769,0.003
0.476,0.768,0.003
0.478,0.768,0.003
0.481,0.768,0.003
0.484,0.767,0.003
0.487,0.765,0.003
0.493,0.765,0.003
0.494,0.763,0.003
0.497,0.763,0.003
0.500,0.763,0.003
0.509,0.761,0.003
0.510,0.761,0.003
0.515,0.760,0.003
0.516,0.760,0.003
0.517,0.759,0.003
0.518,0.758,0.003
0.530,0.758,0.002
0.533,0.757,0.002
0.534,0.757,0.002
0.545,0.753,0.002
0.554,0.753,0.002
0.555,0.752,0.002
0.557,0.752,0.002
0.560,0.751,0.002
0.563,0.751,0.002
0.567,0.750,0.002
0.568,0.747,0.002
0.569,0.747,0.002
0.570,0.746,0.002
0.583,0.746,0.002
0.589,0.744,0.002
0.598,0.744,0.002
0.601,0.742,0.002
0.603,0.742,0.002
0.613,0.741,0.002
0.618,0.738,0.002
0.623,0.736,0.002
0.626,0.736,0.002
0.630,0.735,0.002
0.633,0.734,0.002
0.634,0.731,0.002
0.635,0.731,0.002
0.637,0.729,0.002
0.639,0.728,0.002
0.642,0.726,0.002
0.644,0.726,0.002
0.654,0.722,0.002
