class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.992,1.000,1.000,0.906,32,29.0,0.0
ALFL,0.925,0.989,1.000,0.630,46,29.0,0.0
AMBI,0.740,0.994,1.000,0.333,9,3.0,0.0
AMCR,0.796,0.986,1.000,0.440,25,11.0,0.0
AMRO,0.757,0.987,1.000,0.583,12,7.0,0.0
BADO,0.962,0.998,0.947,0.818,22,18.0,1.0
BBWA,0.886,0.999,1.000,0.667,6,4.0,0.0
BCCH,0.943,0.998,0.900,0.900,10,9.0,1.0
BEKI,0.876,0.890,1.000,0.500,8,4.0,0.0
BLJA,0.922,0.973,1.000,0.550,20,11.0,0.0
BRCR,0.897,0.998,0.800,0.857,14,12.0,3.0
BTNW,0.980,0.999,1.000,0.842,19,16.0,0.0
CANG,0.811,0.998,0.556,0.833,6,5.0,4.0
CEDW,0.828,0.992,0.923,0.522,23,12.0,1.0
CHSP,0.895,0.929,1.000,0.537,54,29.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,0.833,6,5.0,0.0
COYE,0.957,0.996,1.000,0.773,22,17.0,0.0
DEJU,0.799,0.994,0.667,0.545,11,6.0,3.0
EAKI,0.982,1.000,0.857,0.857,7,6.0,1.0
EATO,0.930,0.996,1.000,0.818,11,9.0,0.0
EAWP,0.944,0.991,1.000,0.833,30,25.0,0.0
FISP,0.899,0.992,1.000,0.667,12,8.0,0.0
GCKI,0.740,0.951,1.000,0.583,12,7.0,0.0
GHOW,0.666,0.844,1.000,0.286,28,8.0,0.0
HETH,0.606,0.870,1.000,0.209,43,9.0,0.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.968,0.999,1.000,0.696,23,16.0,0.0
NOFL,0.965,0.999,0.800,0.800,10,8.0,2.0
OVEN,0.902,0.935,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.876,0.989,1.000,0.615,13,8.0,0.0
RWBL,0.925,0.992,0.926,0.676,37,25.0,2.0
SWSP,0.849,0.959,1.000,0.436,39,17.0,0.0
SWTH,0.957,0.999,0.900,0.900,10,9.0,1.0
TEWA,0.800,0.932,1.000,0.478,46,22.0,0.0
TRUS,0.986,1.000,1.000,0.625,8,5.0,0.0
VEER,1.000,1.000,1.000,0.500,4,2.0,0.0
WAVI,0.934,0.998,1.000,0.800,10,8.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.818,0.943,1.000,0.548,31,17.0,0.0
WIWA,0.942,0.999,0.750,1.000,9,9.0,3.0
WIWR,1.000,1.000,1.000,0.970,33,32.0,0.0
WOTH,1.000,1.000,0.800,1.000,4,4.0,1.0
WTSP,0.755,0.934,1.000,0.395,43,17.0,0.0
YEWA,0.938,0.985,1.000,0.500,16,8.0,0.0
