class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.948,0.998,0.935,0.906,32,29.0,2.0
ALFL,0.906,0.980,0.897,0.761,46,35.0,4.0
AMBI,0.596,0.887,1.000,0.444,9,4.0,0.0
AMCR,0.773,0.983,0.875,0.280,25,7.0,1.0
AMRO,0.869,0.997,0.875,0.583,12,7.0,1.0
BADO,0.940,0.997,0.938,0.682,22,15.0,1.0
BBWA,0.976,1.000,1.000,0.333,6,2.0,0.0
BCCH,0.892,0.999,0.750,0.900,10,9.0,3.0
BEKI,0.888,0.990,1.000,0.750,8,6.0,0.0
BLJA,0.910,0.996,0.857,0.600,20,12.0,2.0
BRCR,0.904,0.998,1.000,0.357,14,5.0,0.0
BTNW,0.984,1.000,1.000,0.789,19,15.0,0.0
CANG,0.802,0.998,0.625,0.833,6,5.0,3.0
CEDW,0.855,0.995,0.846,0.478,23,11.0,2.0
CHSP,0.888,0.981,0.970,0.593,54,32.0,1.0
CMWA,1.000,1.000,1.000,0.833,6,5.0,0.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.854,0.998,0.900,0.818,22,18.0,2.0
DEJU,0.667,0.986,0.714,0.455,11,5.0,2.0
EAKI,0.968,1.000,1.000,0.857,7,6.0,0.0
EATO,1.000,1.000,1.000,0.545,11,6.0,0.0
EAWP,0.979,0.999,0.960,0.800,30,24.0,1.0
FISP,0.811,0.981,1.000,0.750,12,9.0,0.0
GCKI,0.795,0.983,1.000,0.583,12,7.0,0.0
GHOW,0.688,0.843,1.000,0.286,28,8.0,0.0
HETH,0.717,0.941,1.000,0.116,43,5.0,0.0
NHWR,0.980,1.000,1.000,0.778,9,7.0,0.0
NOCA,0.944,0.998,1.000,0.609,23,14.0,0.0
NOFL,0.866,0.998,0.750,0.900,10,9.0,3.0
OVEN,0.953,0.999,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.875,0.988,1.000,0.615,13,8.0,0.0
RWBL,0.958,0.995,0.935,0.784,37,29.0,2.0
SWSP,0.890,0.992,1.000,0.462,39,18.0,0.0
SWTH,0.909,0.999,0.833,1.000,10,10.0,2.0
TEWA,0.883,0.968,1.000,0.457,46,21.0,0.0
TRUS,0.959,1.000,1.000,0.750,8,6.0,0.0
VEER,0.887,0.999,1.000,0.500,4,2.0,0.0
WAVI,0.907,0.996,0.889,0.800,10,8.0,1.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.857,0.951,1.000,0.452,31,14.0,0.0
WIWA,0.873,0.997,0.667,0.667,9,6.0,3.0
WIWR,0.999,1.000,0.970,0.970,33,32.0,1.0
WOTH,1.000,1.000,0.800,1.000,4,4.0,1.0
WTSP,0.779,0.952,1.000,0.349,43,15.0,0.0
YEWA,0.905,0.966,1.000,0.562,16,9.0,0.0
