recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.6667
N106834-edited,0.9286,0.8705,0.8786
N128080,0.5000,0.5000,0.5590
N16767-edited,1.0000,1.0000,0.8889
N22158-edited,0.8851,0.8697,0.9487
N22971-edited,0.7278,0.7528,0.6520
N23417-edited,0.8098,0.7778,0.8535
N23493-edited,0.7133,0.7467,0.6400
N250512,0.6444,0.5833,0.6667
N3568,0.9583,0.8901,0.9583
N37429,0.6000,0.3889,0.6250
N38268,0.9583,0.9583,0.9213
N38516,0.9192,0.8856,0.9333
N39306,0.9130,0.7330,0.8932
N41312-edited,0.8333,0.8571,0.8333
N41564,0.8333,0.5556,0.3333
N44587-edited,0.4444,0.6667,0.4444
N460551,0.3190,0.1702,0.5417
N488610,0.7292,0.7750,0.7083
N500951,0.6667,0.5000,0.6667
N6682-edited,0.9006,0.8763,0.8438
N737290,0.4819,0.3429,0.6333
N98507,0.7778,0.7778,0.5000
XC109766,0.9167,0.9583,0.8182
XC109767,0.9316,0.8427,0.8681
XC109769,0.9326,0.8976,0.9320
XC114554,1.0000,1.0000,0.7500
XC134014-edited,0.6500,0.6193,0.3968
XC144024,0.5000,0.7500,0.6667
XC159959,0.6544,0.7179,0.3738
XC172881,0.5000,0.5714,0.0000
XC215372,0.7778,0.5000,0.7222
XC271361,0.2667,0.4444,0.2000
XC801172-edited,0.9583,0.9583,0.9583
XC812929,0.5552,0.7153,0.2571
