recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,1.0000,0.9583,0.8250
N128080,0.5000,0.5000,0.5349
N16767-edited,0.9333,0.9333,0.8889
N22158-edited,0.8470,0.8661,0.8712
N22971-edited,0.7750,0.7528,0.6742
N23417-edited,0.8098,0.8326,0.8475
N23493-edited,0.8867,0.7400,0.6733
N250512,0.5000,0.5472,0.5556
N3568,0.8615,0.8846,0.9583
N37429,0.8000,0.6000,0.6250
N38268,0.8926,0.8926,0.9213
N38516,0.8585,0.8585,0.9133
N39306,0.9143,0.9264,0.9086
N41312-edited,0.8333,0.8333,0.5833
N41564,1.0000,1.0000,0.3333
N44587-edited,0.6667,0.6667,0.2222
N460551,0.6000,0.7000,1.0000
N488610,0.9375,0.8750,0.6250
N500951,0.6667,0.6667,0.5000
N6682-edited,0.9318,0.9318,0.7500
N737290,0.4449,0.4570,0.7000
N98507,0.8889,0.8889,0.6667
XC109766,0.8958,0.9583,0.9091
XC109767,0.9594,0.9594,0.8549
XC109769,0.9491,0.9777,0.9431
XC114554,0.8889,1.0000,0.8750
XC134014-edited,0.6286,0.6286,0.3968
XC144024,0.5000,0.7500,0.6667
XC159959,0.8869,0.8869,0.7536
XC172881,0.8333,0.8333,0.8333
XC215372,0.6111,0.6111,0.6111
XC271361,0.3778,0.3778,0.2500
XC801172-edited,0.9583,0.9583,0.9107
XC812929,0.8075,0.6190,0.6758
