threshold,iou
0.0000,0.2381
0.0100,0.2381
0.0200,0.2296
0.0300,0.2273
0.0400,0.2574
0.0500,0.2772
0.0600,0.2974
0.0700,0.3179
0.0800,0.3404
0.0900,0.3539
0.1000,0.3696
0.1100,0.4026
0.1200,0.4147
0.1300,0.4204
0.1400,0.4204
0.1500,0.4314
0.1600,0.4341
0.1700,0.4347
0.1800,0.4759
0.1900,0.4630
0.2000,0.4781
0.2100,0.4841
0.2200,0.5120
0.2300,0.5163
0.2400,0.5461
0.2500,0.5442
0.2600,0.5690
0.2700,0.5911
0.2800,0.5763
0.2900,0.5894
0.3000,0.6015
0.3100,0.6097
0.3200,0.6073
0.3300,0.6388
0.3400,0.6469
0.3500,0.6376
0.3600,0.6399
0.3700,0.6379
0.3800,0.6413
0.3900,0.6627
0.4000,0.6715
0.4100,0.6806
0.4200,0.6961
0.4300,0.7142
0.4400,0.7324
0.4500,0.7334
0.4600,0.7349
0.4700,0.7503
0.4800,0.7591
0.4900,0.7630
0.5000,0.7642
0.5100,0.7580
0.5200,0.7548
0.5300,0.7756
0.5400,0.7891
0.5500,0.7966
0.5600,0.8110
0.5700,0.8038
0.5800,0.8018
0.5900,0.7991
0.6000,0.7955
0.6100,0.7879
0.6200,0.7909
0.6300,0.8000
0.6400,0.8056
0.6500,0.7897
0.6600,0.7913
0.6700,0.7849
0.6800,0.7844
0.6900,0.7881
0.7000,0.7887
0.7100,0.7746
0.7200,0.7805
0.7300,0.7803
0.7400,0.7688
0.7500,0.7650
0.7600,0.7630
0.7700,0.7570
0.7800,0.7466
0.7900,0.7433
0.8000,0.7298
0.8100,0.7315
0.8200,0.7231
0.8300,0.7222
0.8400,0.7118
0.8500,0.6917
0.8600,0.6802
0.8700,0.6697
0.8800,0.6554
0.8900,0.6364
0.9000,0.6151
0.9100,0.5856
0.9200,0.5381
0.9300,0.4581
0.9400,0.3861
0.9500,0.2787
0.9600,0.1718
0.9700,0.0781
0.9800,0.0310
0.9900,0.0034
1.0000,0.0000
