recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,0.7952,0.8452,0.8250
N128080,0.6582,0.5000,0.7379
N16767-edited,0.9630,0.9630,0.8519
N22158-edited,0.6772,0.5429,0.8217
N22971-edited,0.6992,0.6992,0.6298
N23417-edited,0.8598,0.8598,0.8141
N23493-edited,0.6733,0.6733,0.6067
N250512,0.6250,0.6250,0.6667
N3568,0.9199,0.9199,0.9167
N37429,0.4250,0.4074,0.5667
N38268,0.9259,0.8956,0.8880
N38516,0.9356,0.9356,0.8611
N39306,0.9690,0.9833,0.9242
N41312-edited,0.8333,0.8333,0.7500
N41564,0.8333,0.8333,0.1667
N44587-edited,0.5556,0.5556,0.5000
N460551,0.3750,0.2205,0.6667
N488610,0.7083,0.7292,0.5417
N500951,0.5000,0.6667,0.1667
N6682-edited,0.8750,0.7500,0.7500
N737290,0.6167,0.5633,0.7000
N98507,0.7778,0.8889,0.5000
XC109766,0.9545,0.9545,0.8377
XC109767,0.9670,0.8596,0.8139
XC109769,0.9140,0.7465,0.9320
XC114554,1.0000,1.0000,0.8750
XC134014-edited,0.4683,0.5238,0.3968
XC144024,0.6667,0.6667,0.6667
XC159959,0.8071,0.8071,0.6679
XC172881,0.8333,0.8333,0.5000
XC215372,0.6111,0.6667,0.6111
XC271361,0.2833,0.2833,0.2000
XC801172-edited,0.9583,0.9583,0.8155
XC812929,0.6500,0.6872,0.3238
