precision,recall
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.026,1.000
0.026,0.999
0.027,0.999
0.027,0.997
0.029,0.995
0.030,0.995
0.032,0.994
0.035,0.993
0.038,0.991
0.041,0.990
0.045,0.984
0.049,0.983
0.054,0.979
0.059,0.977
0.064,0.977
0.070,0.977
0.075,0.974
0.081,0.971
0.088,0.969
0.094,0.969
0.100,0.968
0.107,0.966
0.113,0.966
0.119,0.963
0.125,0.962
0.131,0.960
0.138,0.960
0.145,0.959
0.151,0.956
0.157,0.955
0.164,0.955
0.169,0.953
0.175,0.951
0.181,0.949
0.187,0.948
0.192,0.945
0.198,0.941
0.204,0.940
0.210,0.940
0.214,0.939
0.220,0.938
0.226,0.936
0.230,0.932
0.236,0.930
0.241,0.930
0.247,0.925
0.251,0.924
0.256,0.924
0.262,0.924
0.266,0.923
0.271,0.923
0.276,0.922
0.281,0.920
0.286,0.917
0.290,0.917
0.295,0.917
0.300,0.917
0.303,0.916
0.307,0.914
0.312,0.913
0.316,0.912
0.320,0.912
0.324,0.910
0.328,0.910
0.332,0.910
0.336,0.910
0.340,0.909
0.345,0.909
0.347,0.909
0.352,0.909
0.355,0.909
0.360,0.907
0.363,0.907
0.369,0.906
0.374,0.905
0.378,0.905
0.381,0.905
0.385,0.904
0.388,0.902
0.390,0.901
0.394,0.901
0.396,0.899
0.401,0.899
0.405,0.898
0.408,0.896
0.411,0.894
0.415,0.894
0.416,0.894
0.419,0.894
0.423,0.894
0.425,0.894
0.428,0.893
0.430,0.892
0.433,0.892
0.437,0.892
0.442,0.891
0.446,0.891
0.449,0.891
0.452,0.891
0.454,0.891
0.458,0.891
0.461,0.891
0.465,0.891
0.469,0.891
0.471,0.889
0.474,0.889
0.476,0.889
0.477,0.889
0.481,0.887
0.483,0.887
0.485,0.887
0.486,0.886
0.490,0.886
0.491,0.886
0.493,0.885
0.495,0.883
0.496,0.883
0.497,0.883
0.499,0.879
0.500,0.879
0.503,0.879
0.504,0.879
0.505,0.879
0.507,0.879
0.509,0.879
0.512,0.878
0.515,0.877
0.516,0.877
0.520,0.877
0.521,0.876
0.526,0.876
0.531,0.875
0.532,0.875
0.534,0.875
0.535,0.875
0.537,0.875
0.538,0.875
0.541,0.874
0.541,0.873
0.544,0.873
0.546,0.871
0.547,0.871
0.548,0.870
0.550,0.869
0.552,0.869
0.555,0.869
0.560,0.868
0.560,0.868
0.562,0.867
0.564,0.866
0.565,0.866
0.567,0.866
0.570,0.866
0.571,0.866
0.572,0.866
0.573,0.866
0.576,0.866
0.577,0.865
0.581,0.865
0.581,0.865
0.582,0.865
0.584,0.862
0.584,0.862
0.586,0.862
0.589,0.862
0.591,0.862
0.593,0.862
0.594,0.861
0.596,0.860
0.596,0.859
0.598,0.859
0.599,0.859
0.600,0.859
0.600,0.859
0.601,0.859
0.602,0.859
0.604,0.859
0.605,0.859
0.606,0.858
0.609,0.858
