roc_recall,one_minus_fpr,roc_precision
0.000,1.000,1.000
0.010,1.000,1.000
0.020,1.000,1.000
0.030,1.000,1.000
0.040,1.000,1.000
0.050,1.000,1.000
0.060,1.000,1.000
0.070,1.000,1.000
0.080,1.000,1.000
0.090,1.000,1.000
0.100,1.000,0.997
0.110,1.000,0.990
0.120,1.000,0.991
0.130,1.000,0.991
0.140,1.000,0.992
0.150,1.000,0.992
0.160,1.000,0.993
0.170,1.000,0.993
0.180,1.000,0.987
0.190,1.000,0.988
0.200,1.000,0.989
0.210,1.000,0.989
0.220,1.000,0.990
0.230,1.000,0.990
0.240,1.000,0.990
0.250,1.000,0.990
0.260,1.000,0.991
0.270,1.000,0.991
0.280,1.000,0.988
0.290,1.000,0.988
0.300,1.000,0.985
0.310,1.000,0.985
0.320,1.000,0.985
0.330,1.000,0.985
0.340,1.000,0.983
0.350,1.000,0.980
0.360,1.000,0.980
0.370,1.000,0.980
0.380,1.000,0.981
0.390,1.000,0.982
0.400,1.000,0.981
0.410,1.000,0.978
0.420,1.000,0.977
0.430,1.000,0.977
0.440,1.000,0.978
0.450,1.000,0.976
0.460,1.000,0.976
0.470,1.000,0.976
0.480,1.000,0.974
0.490,1.000,0.973
0.500,1.000,0.974
0.510,1.000,0.975
0.520,1.000,0.970
0.530,1.000,0.969
0.540,1.000,0.969
0.550,1.000,0.970
0.560,0.999,0.969
0.570,0.999,0.967
0.580,0.999,0.962
0.590,0.999,0.963
0.600,0.999,0.962
0.610,0.999,0.959
0.620,0.999,0.957
0.630,0.999,0.955
0.640,0.999,0.952
0.650,0.999,0.949
0.660,0.999,0.944
0.670,0.999,0.945
0.680,0.999,0.944
0.690,0.999,0.943
0.700,0.998,0.937
0.710,0.998,0.934
0.720,0.998,0.933
0.730,0.998,0.931
0.740,0.998,0.927
0.750,0.998,0.919
0.760,0.997,0.915
0.770,0.997,0.906
0.780,0.996,0.898
0.790,0.996,0.891
0.800,0.995,0.876
0.810,0.994,0.860
0.820,0.992,0.834
0.830,0.992,0.828
0.840,0.990,0.800
0.850,0.988,0.776
0.860,0.985,0.742
0.870,0.982,0.721
0.880,0.978,0.701
0.890,0.975,0.678
0.900,0.965,0.658
0.910,0.956,0.638
0.920,0.940,0.618
0.930,0.926,0.605
0.940,0.911,0.599
0.950,0.889,0.592
0.960,0.847,0.581
0.970,0.745,0.568
0.980,0.554,0.554
0.990,0.401,0.548
1.000,0.200,0.274
1.010,0.000,0.000
