threshold,iou
0.0000,0.2381
0.0100,0.2393
0.0200,0.2292
0.0300,0.2421
0.0400,0.3005
0.0500,0.3565
0.0600,0.3697
0.0700,0.3681
0.0800,0.3757
0.0900,0.3995
0.1000,0.3900
0.1100,0.3966
0.1200,0.3969
0.1300,0.3978
0.1400,0.3945
0.1500,0.3945
0.1600,0.4028
0.1700,0.4012
0.1800,0.3955
0.1900,0.4040
0.2000,0.4082
0.2100,0.4101
0.2200,0.4101
0.2300,0.4146
0.2400,0.4155
0.2500,0.4157
0.2600,0.4157
0.2700,0.4202
0.2800,0.4204
0.2900,0.4220
0.3000,0.4196
0.3100,0.4196
0.3200,0.4199
0.3300,0.4169
0.3400,0.4170
0.3500,0.4168
0.3600,0.4168
0.3700,0.4216
0.3800,0.4217
0.3900,0.4178
0.4000,0.4225
0.4100,0.4229
0.4200,0.4229
0.4300,0.4187
0.4400,0.4233
0.4500,0.4233
0.4600,0.4242
0.4700,0.4192
0.4800,0.4194
0.4900,0.4119
0.5000,0.4164
0.5100,0.4222
0.5200,0.4199
0.5300,0.4151
0.5400,0.4157
0.5500,0.4206
0.5600,0.4221
0.5700,0.4107
0.5800,0.4074
0.5900,0.4118
0.6000,0.4147
0.6100,0.4227
0.6200,0.4180
0.6300,0.4149
0.6400,0.4092
0.6500,0.4137
0.6600,0.4182
0.6700,0.4243
0.6800,0.4259
0.6900,0.4265
0.7000,0.4335
0.7100,0.4338
0.7200,0.4341
0.7300,0.4293
0.7400,0.4235
0.7500,0.4249
0.7600,0.4249
0.7700,0.4223
0.7800,0.4233
0.7900,0.4233
0.8000,0.4203
0.8100,0.4177
0.8200,0.4169
0.8300,0.4146
0.8400,0.3974
0.8500,0.3863
0.8600,0.3754
0.8700,0.3529
0.8800,0.3244
0.8900,0.2915
0.9000,0.2646
0.9100,0.2196
0.9200,0.1918
0.9300,0.1608
0.9400,0.1437
0.9500,0.1284
0.9600,0.0942
0.9700,0.0455
0.9800,0.0154
0.9900,0.0000
1.0000,0.0000
