recording,iou_max,iou_0.60,iou_0.80
N100056,0.7083,0.9167,0.5833
N106834-edited,0.9083,0.8929,0.8250
N128080,0.5000,0.5000,0.5781
N16767-edited,0.9333,0.7460,0.8963
N22158-edited,0.8851,0.4876,0.9524
N22971-edited,0.6992,0.7350,0.6520
N23417-edited,0.8098,0.7906,0.8535
N23493-edited,0.6067,0.6067,0.6067
N250512,0.6806,0.5722,0.6667
N3568,0.9199,0.8516,0.9167
N37429,0.4167,0.4306,0.5000
N38268,0.9213,0.9583,0.9213
N38516,0.9556,0.8740,0.8889
N39306,0.8964,0.8819,0.9110
N41312-edited,0.7500,0.8333,0.7500
N41564,0.6667,0.8333,0.3333
N44587-edited,0.4444,0.6111,0.4444
N460551,0.4667,0.2778,0.9167
N488610,0.7083,0.8542,0.6250
N500951,0.6667,0.5000,0.5000
N6682-edited,0.8819,0.6254,0.8438
N737290,0.5500,0.4438,0.7000
N98507,0.6667,0.7778,0.5556
XC109766,0.9545,0.9545,0.8636
XC109767,0.9375,0.9480,0.8382
XC109769,0.9326,0.6984,0.9431
XC114554,1.0000,1.0000,0.7500
XC134014-edited,0.4683,0.5167,0.3968
XC144024,0.6667,0.6667,0.6667
XC159959,0.8071,0.8929,0.7179
XC172881,0.0000,0.0000,0.0000
XC215372,0.7778,0.7778,0.6111
XC271361,0.2667,0.2222,0.2500
XC801172-edited,0.8631,0.9583,0.6627
XC812929,0.5861,0.7056,0.2571
