recording,iou_max,iou_0.60,iou_0.80
N100056,0.5857,0.6333,0.2667
N106834-edited,0.5238,0.6429,0.3917
N128080,0.8300,0.7400,0.3500
N16767-edited,0.9259,0.9259,0.4213
N22158-edited,0.9484,0.7701,0.3861
N22971-edited,0.6770,0.6520,0.4754
N23417-edited,0.9111,0.7616,0.3904
N23493-edited,0.6533,0.5800,0.3933
N250512,0.4583,0.5000,0.3333
N3568,0.9583,0.8333,0.5000
N37429,0.5000,0.4167,0.4167
N38268,0.9667,0.8546,0.4815
N38516,0.9378,0.9306,0.4778
N39306,0.9394,0.9086,0.4948
N41312-edited,0.5714,0.6667,0.3333
N41564,0.8333,0.8333,0.1667
N44587-edited,1.0000,0.8889,0.5556
N460551,0.5833,0.5833,0.7083
N488610,0.8542,0.7083,0.3125
N500951,0.5000,0.5556,0.7222
N6682-edited,0.8125,0.7500,0.4062
N737290,0.8667,0.8000,0.5667
N98507,0.7778,0.7778,0.6667
XC109766,0.8120,0.8920,0.2468
XC109767,0.8607,0.8474,0.4028
XC109769,0.9024,0.9415,0.5894
XC114554,0.8000,0.8889,0.5000
XC134014-edited,0.3857,0.3968,0.0952
XC144024,1.0000,0.3333,0.3333
XC159959,0.7679,0.6798,0.3238
XC172881,0.8333,0.5000,0.0000
XC215372,0.6667,0.7778,0.4444
XC271361,0.6167,0.3278,0.0833
XC801172-edited,0.6687,0.4821,0.3452
XC812929,0.5929,0.5071,0.1607
