recording,iou_max,iou_0.60,iou_0.80
N100056,0.8167,0.8167,0.5833
N106834-edited,0.8750,0.8750,0.8250
N128080,0.8800,0.8800,0.6500
N16767-edited,1.0000,1.0000,0.8889
N22158-edited,0.8990,0.9048,0.8495
N22971-edited,0.7242,0.7528,0.6520
N23417-edited,0.9419,0.8906,0.8778
N23493-edited,0.7467,0.7800,0.6467
N250512,0.7778,0.8889,0.6667
N3568,0.9583,0.9583,0.9167
N37429,0.6250,0.6250,0.7083
N38268,0.9259,0.8623,0.8889
N38516,0.9156,0.9378,0.8733
N39306,0.9121,0.9264,0.8932
N41312-edited,0.8333,0.8333,0.8333
N41564,0.8333,0.8333,0.3333
N44587-edited,0.7222,0.7222,0.5556
N460551,0.4583,0.3917,0.5833
N488610,0.7708,0.7292,0.6250
N500951,0.7222,0.6111,0.8333
N6682-edited,0.9375,0.9375,0.8125
N737290,0.8667,0.7833,0.7333
N98507,0.8889,0.8889,0.5556
XC109766,0.8958,0.8472,0.8333
XC109767,0.9310,0.8935,0.9309
XC109769,0.9659,0.8810,0.9542
XC114554,0.8000,0.8000,1.0000
XC134014-edited,0.4571,0.5786,0.3968
XC144024,0.6667,1.0000,0.6667
XC159959,0.7000,0.7714,0.5226
XC172881,0.8333,0.7143,0.3333
XC215372,0.8889,0.7222,0.7222
XC271361,0.3667,0.4500,0.3667
XC801172-edited,0.8690,0.8690,0.8690
XC812929,0.7655,0.7655,0.6536
