recording,iou_max,iou_0.60,iou_0.80
N100056,0.9000,0.8333,0.5000
N106834-edited,0.9583,0.8750,0.6500
N128080,0.7900,0.7400,0.6200
N16767-edited,0.9259,0.7407,0.5370
N22158-edited,0.8532,0.6673,0.4377
N22971-edited,0.6353,0.5798,0.4532
N23417-edited,0.8833,0.8475,0.4207
N23493-edited,0.8600,0.7133,0.5400
N250512,0.5556,0.6667,0.5556
N3568,0.8429,0.7917,0.5833
N37429,0.6667,0.9167,0.7083
N38268,0.7394,0.7481,0.5231
N38516,0.6690,0.8067,0.5222
N39306,0.9097,0.8778,0.5424
N41312-edited,1.0000,0.6667,0.5000
N41564,0.5000,0.5000,0.3333
N44587-edited,0.3333,0.3611,0.3056
N460551,0.5000,0.5833,0.7083
N488610,0.5417,0.4167,0.3958
N500951,0.6667,0.3889,0.2500
N6682-edited,0.8507,0.7812,0.5312
N737290,0.5000,0.4167,0.4333
N98507,0.5556,0.5556,0.4444
XC109766,0.7837,0.7083,0.3810
XC109767,0.8625,0.7671,0.4298
XC109769,0.8328,0.8497,0.5475
XC114554,0.8889,0.7778,0.5000
XC134014-edited,0.4026,0.2643,0.1905
XC144024,0.5000,0.6667,0.3333
XC159959,0.8726,0.5464,0.2940
XC172881,0.6250,0.5714,0.0833
XC215372,0.6667,0.4444,0.3889
XC271361,0.8500,0.5278,0.1667
XC801172-edited,0.5491,0.5794,0.4821
XC812929,0.6286,0.6262,0.4071
