threshold,precision,recall
0.012,0.025,1.000
0.014,0.025,1.000
0.015,0.025,1.000
0.016,0.025,1.000
0.017,0.025,1.000
0.018,0.025,1.000
0.019,0.025,1.000
0.020,0.025,1.000
0.021,0.025,1.000
0.022,0.025,1.000
0.023,0.025,1.000
0.024,0.025,1.000
0.025,0.025,1.000
0.026,0.026,1.000
0.027,0.026,1.000
0.028,0.027,1.000
0.029,0.029,0.999
0.030,0.031,0.998
0.031,0.033,0.997
0.032,0.036,0.997
0.033,0.041,0.997
0.034,0.046,0.995
0.035,0.051,0.994
0.036,0.057,0.993
0.037,0.064,0.990
0.038,0.071,0.989
0.039,0.079,0.987
0.040,0.086,0.984
0.041,0.093,0.979
0.042,0.100,0.978
0.043,0.109,0.978
0.044,0.118,0.977
0.045,0.126,0.977
0.046,0.134,0.976
0.047,0.141,0.976
0.048,0.148,0.975
0.049,0.156,0.975
0.050,0.163,0.975
0.051,0.170,0.974
0.052,0.177,0.974
0.053,0.184,0.974
0.054,0.191,0.972
0.055,0.198,0.972
0.056,0.205,0.970
0.057,0.211,0.969
0.058,0.216,0.967
0.059,0.222,0.966
0.060,0.229,0.966
0.061,0.235,0.963
0.062,0.242,0.963
0.063,0.247,0.963
0.064,0.252,0.962
0.065,0.257,0.962
0.066,0.261,0.961
0.067,0.266,0.961
0.068,0.272,0.961
0.069,0.276,0.960
0.070,0.281,0.959
0.071,0.285,0.958
0.072,0.289,0.958
0.073,0.293,0.958
0.074,0.297,0.958
0.075,0.301,0.958
0.076,0.304,0.958
0.077,0.308,0.956
0.078,0.313,0.955
0.079,0.318,0.955
0.080,0.320,0.955
0.081,0.325,0.955
0.082,0.329,0.955
0.083,0.332,0.954
0.084,0.335,0.953
0.085,0.338,0.952
0.086,0.342,0.951
0.087,0.344,0.951
0.088,0.347,0.951
0.089,0.351,0.951
0.090,0.354,0.951
0.091,0.357,0.948
0.092,0.361,0.948
0.093,0.365,0.947
0.094,0.367,0.947
0.095,0.370,0.947
0.096,0.373,0.947
0.097,0.376,0.946
0.098,0.378,0.945
0.099,0.383,0.945
0.100,0.386,0.945
0.101,0.389,0.945
0.102,0.392,0.945
0.103,0.395,0.945
0.104,0.398,0.945
0.105,0.401,0.944
0.106,0.403,0.944
0.107,0.406,0.943
0.108,0.409,0.941
0.109,0.411,0.941
0.110,0.413,0.940
0.111,0.416,0.940
0.112,0.418,0.940
0.113,0.422,0.940
0.114,0.425,0.939
0.115,0.428,0.939
0.116,0.430,0.939
0.117,0.432,0.937
0.118,0.436,0.937
0.119,0.437,0.937
0.120,0.439,0.937
0.121,0.442,0.937
0.122,0.443,0.937
0.123,0.446,0.936
0.124,0.447,0.936
0.125,0.450,0.936
0.126,0.452,0.936
0.127,0.454,0.935
0.128,0.456,0.935
0.129,0.457,0.935
0.130,0.460,0.935
0.131,0.462,0.935
0.132,0.466,0.933
0.133,0.468,0.933
0.134,0.471,0.933
0.135,0.474,0.933
0.136,0.475,0.933
0.137,0.476,0.932
0.138,0.478,0.932
0.139,0.479,0.931
0.140,0.480,0.931
0.141,0.482,0.931
0.142,0.485,0.931
0.143,0.488,0.931
0.144,0.489,0.931
0.145,0.493,0.931
0.146,0.495,0.931
0.147,0.498,0.931
0.148,0.499,0.930
0.149,0.501,0.930
0.150,0.503,0.930
0.151,0.507,0.930
0.152,0.508,0.930
0.153,0.511,0.930
0.154,0.513,0.929
0.155,0.514,0.927
0.156,0.515,0.925
0.157,0.517,0.925
0.158,0.517,0.924
0.159,0.520,0.924
0.160,0.522,0.924
0.161,0.526,0.924
0.162,0.528,0.924
0.163,0.530,0.924
0.164,0.534,0.923
0.165,0.535,0.923
0.166,0.539,0.923
0.167,0.541,0.922
0.168,0.541,0.922
0.169,0.543,0.922
0.170,0.545,0.922
0.171,0.547,0.922
0.172,0.549,0.922
0.173,0.551,0.922
0.174,0.552,0.922
0.175,0.553,0.922
0.176,0.555,0.921
0.177,0.558,0.921
0.178,0.560,0.921
0.179,0.562,0.921
0.180,0.564,0.921
0.181,0.566,0.921
0.182,0.566,0.921
0.183,0.567,0.921
0.184,0.569,0.921
0.185,0.570,0.921
0.186,0.571,0.921
0.187,0.571,0.920
0.188,0.574,0.920
0.189,0.576,0.918
0.190,0.578,0.917
0.191,0.580,0.916
0.192,0.580,0.916
0.193,0.581,0.915
0.194,0.583,0.915
0.195,0.586,0.915
0.196,0.588,0.915
0.197,0.590,0.914
0.198,0.592,0.914
0.199,0.594,0.913
0.200,0.595,0.913
0.201,0.598,0.913
0.202,0.600,0.913
0.203,0.600,0.912
0.204,0.602,0.912
0.205,0.603,0.910
0.206,0.604,0.910
0.207,0.606,0.908
0.208,0.608,0.908
0.210,0.608,0.908
0.211,0.610,0.908
0.212,0.612,0.908
0.213,0.613,0.908
0.214,0.616,0.908
0.215,0.617,0.908
0.216,0.619,0.907
0.217,0.620,0.906
0.218,0.621,0.905
0.219,0.623,0.905
0.220,0.626,0.905
0.221,0.627,0.905
0.222,0.629,0.905
0.223,0.630,0.905
0.224,0.633,0.904
0.225,0.634,0.904
0.226,0.635,0.904
0.227,0.635,0.902
0.228,0.637,0.901
0.229,0.638,0.901
0.230,0.639,0.901
0.231,0.640,0.901
0.232,0.641,0.901
0.234,0.642,0.901
0.235,0.643,0.899
0.236,0.644,0.898
0.237,0.646,0.898
0.238,0.647,0.898
0.239,0.648,0.897
0.240,0.649,0.897
0.241,0.650,0.897
0.243,0.650,0.897
0.244,0.652,0.897
0.245,0.654,0.897
0.246,0.656,0.897
0.247,0.658,0.897
0.248,0.658,0.896
0.249,0.658,0.896
0.250,0.660,0.896
0.251,0.661,0.896
0.252,0.663,0.896
0.253,0.662,0.894
0.254,0.663,0.893
0.256,0.666,0.893
0.257,0.667,0.893
0.258,0.667,0.893
0.259,0.668,0.893
0.260,0.670,0.893
0.261,0.671,0.893
0.262,0.674,0.893
0.264,0.674,0.893
0.265,0.675,0.893
0.266,0.677,0.893
0.267,0.678,0.893
0.268,0.681,0.893
0.269,0.682,0.893
0.270,0.684,0.893
0.271,0.684,0.893
0.272,0.685,0.893
0.273,0.685,0.893
0.274,0.687,0.892
0.275,0.688,0.892
0.277,0.691,0.892
0.278,0.693,0.892
0.280,0.694,0.892
0.281,0.693,0.891
0.282,0.695,0.891
0.283,0.695,0.891
0.284,0.697,0.890
0.285,0.698,0.890
0.286,0.701,0.890
0.287,0.703,0.890
0.288,0.704,0.890
0.289,0.705,0.890
0.291,0.706,0.890
0.292,0.707,0.890
0.293,0.708,0.890
0.294,0.709,0.890
0.296,0.710,0.890
0.297,0.711,0.890
0.298,0.713,0.889
0.299,0.714,0.889
0.300,0.715,0.889
0.301,0.717,0.889
0.302,0.717,0.889
0.303,0.718,0.889
0.304,0.718,0.886
0.305,0.719,0.886
0.307,0.720,0.886
0.308,0.721,0.886
0.309,0.722,0.884
0.310,0.721,0.883
0.311,0.725,0.883
0.313,0.725,0.883
0.314,0.727,0.883
0.315,0.728,0.883
