recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5833
N106834-edited,0.8310,0.8310,0.8250
N128080,0.5111,0.5111,0.4259
N16767-edited,0.8556,0.8556,0.8889
N22158-edited,0.8232,0.8232,0.8755
N22971-edited,0.6981,0.6981,0.6742
N23417-edited,0.9111,0.8838,0.7808
N23493-edited,0.6800,0.6800,0.5733
N250512,0.6806,0.5972,0.4444
N3568,1.0000,0.9615,0.9583
N37429,0.6806,0.6806,0.5000
N38268,0.8926,0.8926,0.8917
N38516,0.8992,0.8740,0.8461
N39306,0.9264,0.9264,0.9396
N41312-edited,0.7500,0.8333,0.6667
N41564,0.5208,0.5208,0.3333
N44587-edited,0.6667,0.6667,0.3333
N460551,0.7500,0.7500,0.8750
N488610,0.8542,0.9375,0.6250
N500951,0.8333,0.8333,0.5000
N6682-edited,0.9222,0.7378,0.7500
N737290,0.4318,0.4318,0.6333
N98507,0.8889,0.8889,0.3889
XC109766,0.9167,0.9583,0.9091
XC109767,0.9594,0.9594,0.9198
XC109769,0.9682,0.9682,0.9221
XC114554,1.0000,1.0000,0.8750
XC134014-edited,0.5786,0.5786,0.3968
XC144024,0.5000,0.5000,0.6667
XC159959,0.8571,0.8929,0.7536
XC172881,0.5556,0.5556,0.8333
XC215372,0.6111,0.6111,0.4444
XC271361,0.5833,0.5833,0.1667
XC801172-edited,0.9583,0.9583,0.7659
XC812929,0.7803,0.7803,0.6271
