class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.995,1.000,1.000,0.906,32,29.0,0.0
ALFL,0.981,0.999,0.971,0.739,46,34.0,1.0
AMBI,0.812,0.995,1.000,0.556,9,5.0,0.0
AMCR,0.884,0.994,1.000,0.440,25,11.0,0.0
AMRO,0.950,0.999,1.000,0.667,12,8.0,0.0
BADO,0.973,0.999,0.909,0.909,22,20.0,2.0
BBWA,0.692,0.995,1.000,0.500,6,3.0,0.0
BCCH,0.902,0.998,0.800,0.800,10,8.0,2.0
BEKI,0.909,0.997,1.000,0.750,8,6.0,0.0
BLJA,0.959,0.998,1.000,0.800,20,16.0,0.0
BRCR,0.980,1.000,0.917,0.786,14,11.0,1.0
BTNW,0.959,0.999,1.000,0.842,19,16.0,0.0
CANG,0.873,0.999,0.750,1.000,6,6.0,2.0
CEDW,0.914,0.997,0.857,0.522,23,12.0,2.0
CHSP,0.963,0.989,1.000,0.444,54,24.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,0.857,1.000,6,6.0,1.0
COYE,0.981,0.999,1.000,0.909,22,20.0,0.0
DEJU,0.639,0.985,0.727,0.727,11,8.0,3.0
EAKI,1.000,1.000,1.000,0.857,7,6.0,0.0
EATO,0.992,1.000,1.000,0.636,11,7.0,0.0
EAWP,0.998,1.000,1.000,0.867,30,26.0,0.0
FISP,0.979,1.000,1.000,0.750,12,9.0,0.0
GCKI,0.893,0.984,1.000,0.500,12,6.0,0.0
GHOW,0.829,0.949,1.000,0.464,28,13.0,0.0
HETH,0.541,0.921,1.000,0.186,43,8.0,0.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.961,0.999,1.000,0.739,23,17.0,0.0
NOFL,1.000,1.000,1.000,0.900,10,9.0,0.0
OVEN,0.983,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.979,0.999,1.000,0.385,13,5.0,0.0
RWBL,0.952,0.997,0.966,0.757,37,28.0,1.0
SWSP,0.850,0.977,1.000,0.410,39,16.0,0.0
SWTH,0.970,1.000,0.833,1.000,10,10.0,2.0
TEWA,0.895,0.991,1.000,0.565,46,26.0,0.0
TRUS,1.000,1.000,1.000,0.750,8,6.0,0.0
VEER,0.917,0.999,1.000,0.750,4,3.0,0.0
WAVI,0.971,0.999,1.000,0.900,10,9.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.955,0.973,1.000,0.645,31,20.0,0.0
WIWA,1.000,1.000,1.000,1.000,9,9.0,0.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.887,0.991,1.000,0.372,43,16.0,0.0
YEWA,0.875,0.997,1.000,0.500,16,8.0,0.0
