recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5833
N106834-edited,0.8661,0.8661,0.8250
N128080,0.5111,0.5000,0.5701
N16767-edited,0.8283,0.6084,0.8667
N22158-edited,0.8857,0.8663,0.8993
N22971-edited,0.6798,0.5493,0.6992
N23417-edited,0.8376,0.8376,0.8535
N23493-edited,0.7133,0.7800,0.6733
N250512,0.5833,0.4833,0.5556
N3568,0.8516,0.8365,0.9583
N37429,0.6333,0.6667,0.6250
N38268,0.9583,0.8623,0.9213
N38516,0.9133,0.8970,0.8639
N39306,0.8989,0.8542,0.8934
N41312-edited,0.8333,0.8333,0.7500
N41564,1.0000,0.8000,0.1667
N44587-edited,0.4444,0.4444,0.5000
N460551,0.6667,0.6667,0.8750
N488610,0.7083,0.7917,0.6250
N500951,0.8333,0.7778,0.5000
N6682-edited,0.8636,0.8333,0.8125
N737290,0.4150,0.3516,0.6389
N98507,0.8889,0.7778,0.5000
XC109766,0.9583,0.9583,0.7922
XC109767,0.9651,0.9359,0.8170
XC109769,0.9444,0.9682,0.9331
XC114554,1.0000,1.0000,0.7500
XC134014-edited,0.5286,0.5786,0.3968
XC144024,0.6667,0.5000,0.6667
XC159959,0.7317,0.8036,0.6083
XC172881,0.7143,0.6250,0.1667
XC215372,0.7778,0.7778,0.6111
XC271361,0.3500,0.5444,0.2500
XC801172-edited,0.9583,0.9583,0.8274
XC812929,0.8278,0.8357,0.7057
