recording,iou_max,iou_0.60,iou_0.80
N100056,0.4444,0.5500,0.4444
N106834-edited,0.4929,0.4863,0.4929
N128080,0.5227,0.4792,0.5227
N16767-edited,0.8667,0.6190,0.8667
N22158-edited,0.8482,0.6741,0.8482
N22971-edited,0.7048,0.4642,0.7048
N23417-edited,0.8056,0.7049,0.8056
N23493-edited,0.6300,0.5000,0.6300
N250512,0.6667,0.4444,0.6667
N3568,0.9286,0.6667,0.9286
N37429,0.3167,0.2611,0.3167
N38268,0.7869,0.6448,0.7869
N38516,0.7542,0.5763,0.7542
N39306,0.7790,0.6874,0.7790
N41312-edited,0.4921,0.5500,0.4921
N41564,0.2000,0.3304,0.2000
N44587-edited,0.4444,0.3500,0.4444
N460551,0.4167,0.1360,0.4167
N488610,0.6250,0.5104,0.6250
N500951,0.3667,0.1882,0.3667
N6682-edited,0.7639,0.6238,0.7639
N737290,0.6133,0.2881,0.6133
N98507,0.6111,0.4167,0.6111
XC109766,0.8958,0.5243,0.8958
XC109767,0.8549,0.5326,0.8549
XC109769,0.8358,0.6657,0.8358
XC114554,1.0000,0.6667,1.0000
XC134014-edited,0.4683,0.3212,0.4683
XC144024,0.6667,0.5000,0.6667
XC159959,0.8429,0.5597,0.8429
XC172881,0.3333,0.5556,0.3333
XC215372,0.2308,0.2500,0.2308
XC271361,0.2000,0.1333,0.2000
XC801172-edited,0.9583,0.6611,0.9583
XC812929,0.4545,0.5217,0.4545
