class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.986,0.999,1.000,0.875,32,28.0,0.0
ALFL,0.909,0.984,0.970,0.696,46,32.0,1.0
AMBI,0.729,0.992,1.000,0.556,9,5.0,0.0
AMCR,0.856,0.987,1.000,0.400,25,10.0,0.0
AMRO,0.795,0.985,0.750,0.500,12,6.0,2.0
BADO,0.891,0.996,0.905,0.864,22,19.0,2.0
BBWA,0.643,0.976,1.000,0.333,6,2.0,0.0
BCCH,0.915,0.999,0.818,0.900,10,9.0,2.0
BEKI,0.877,0.934,1.000,0.625,8,5.0,0.0
BLJA,0.926,0.996,1.000,0.650,20,13.0,0.0
BRCR,0.859,0.997,0.786,0.786,14,11.0,3.0
BTNW,0.972,0.999,0.938,0.789,19,15.0,1.0
CANG,0.818,0.999,0.667,1.000,6,6.0,3.0
CEDW,0.840,0.993,0.857,0.522,23,12.0,2.0
CHSP,0.918,0.975,1.000,0.389,54,21.0,0.0
CMWA,1.000,1.000,0.857,1.000,6,6.0,1.0
CORA,0.976,1.000,0.857,1.000,6,6.0,1.0
COYE,0.991,1.000,1.000,0.864,22,19.0,0.0
DEJU,0.536,0.987,0.438,0.636,11,7.0,9.0
EAKI,0.968,1.000,1.000,0.857,7,6.0,0.0
EATO,0.968,0.999,1.000,0.818,11,9.0,0.0
EAWP,0.939,0.992,1.000,0.833,30,25.0,0.0
FISP,0.827,0.960,1.000,0.667,12,8.0,0.0
GCKI,0.658,0.844,1.000,0.417,12,5.0,0.0
GHOW,0.716,0.909,1.000,0.429,28,12.0,0.0
HETH,0.546,0.845,0.889,0.186,43,8.0,1.0
NHWR,1.000,1.000,1.000,0.889,9,8.0,0.0
NOCA,0.961,0.998,1.000,0.652,23,15.0,0.0
NOFL,1.000,1.000,1.000,0.900,10,9.0,0.0
OVEN,0.912,0.990,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.847,0.973,1.000,0.385,13,5.0,0.0
RWBL,0.941,0.996,0.963,0.703,37,26.0,1.0
SWSP,0.772,0.926,1.000,0.436,39,17.0,0.0
SWTH,0.928,0.999,0.909,1.000,10,10.0,1.0
TEWA,0.889,0.973,1.000,0.543,46,25.0,0.0
TRUS,1.000,1.000,1.000,0.500,8,4.0,0.0
VEER,0.950,1.000,1.000,0.750,4,3.0,0.0
WAVI,0.983,1.000,1.000,0.800,10,8.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.830,0.915,1.000,0.613,31,19.0,0.0
WIWA,0.989,1.000,0.900,1.000,9,9.0,1.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,0.667,1.000,4,4.0,2.0
WTSP,0.812,0.944,0.944,0.395,43,17.0,1.0
YEWA,0.901,0.949,1.000,0.438,16,7.0,0.0
