recording,iou_max,iou_0.60,iou_0.80
N100056,0.8167,0.8167,0.6667
N106834-edited,0.9167,0.8869,0.9167
N128080,0.5338,0.5111,0.5500
N16767-edited,0.8667,0.7949,0.9296
N22158-edited,0.9505,0.9505,0.9228
N22971-edited,0.6992,0.6861,0.6520
N23417-edited,0.8098,0.7906,0.8535
N23493-edited,0.7467,0.7800,0.6133
N250512,0.7222,0.6722,0.6667
N3568,0.9231,0.9231,0.9167
N37429,0.4881,0.4792,0.7083
N38268,0.9259,0.8697,0.8889
N38516,0.9156,0.8800,0.8711
N39306,0.8895,0.8895,0.8802
N41312-edited,0.8333,0.8333,0.7500
N41564,1.0000,0.8333,0.3333
N44587-edited,0.5556,0.5556,0.4444
N460551,0.5417,0.4583,0.8750
N488610,0.7917,0.8542,0.7083
N500951,0.5000,0.4556,0.5000
N6682-edited,0.9222,0.8818,0.8125
N737290,0.6111,0.5238,0.8000
N98507,0.8889,0.7778,0.5000
XC109766,1.0000,0.9375,0.6753
XC109767,0.9774,1.0000,0.8955
XC109769,0.9431,0.9146,0.9320
XC114554,1.0000,0.8889,0.8750
XC134014-edited,0.5286,0.6500,0.3968
XC144024,0.6667,0.5000,0.6667
XC159959,0.9286,0.9286,0.6952
XC172881,0.5714,0.7143,0.5000
XC215372,0.8889,0.8889,0.8889
XC271361,0.7000,0.7667,0.4222
XC801172-edited,0.9583,0.9583,0.8750
XC812929,0.7536,0.7655,0.4988
