threshold,true positive rate,false positive rate
0.408,0.741,0.003
0.415,0.741,0.003
0.418,0.739,0.003
0.421,0.738,0.003
0.424,0.737,0.003
0.426,0.736,0.003
0.427,0.736,0.003
0.429,0.736,0.003
0.430,0.734,0.003
0.435,0.731,0.003
0.437,0.731,0.003
0.438,0.731,0.003
0.439,0.731,0.003
0.441,0.730,0.003
0.442,0.730,0.003
0.446,0.730,0.003
0.456,0.728,0.003
0.457,0.728,0.003
0.466,0.726,0.003
0.468,0.726,0.003
0.469,0.724,0.003
0.471,0.724,0.002
0.472,0.724,0.002
0.474,0.724,0.002
0.478,0.722,0.002
0.479,0.721,0.002
0.480,0.720,0.002
0.481,0.720,0.002
0.486,0.720,0.002
0.489,0.715,0.002
0.490,0.714,0.002
0.493,0.713,0.002
0.496,0.713,0.002
0.497,0.713,0.002
0.498,0.713,0.002
0.514,0.707,0.002
0.521,0.707,0.002
0.522,0.706,0.002
0.524,0.706,0.002
0.525,0.705,0.002
0.527,0.703,0.002
0.530,0.703,0.002
0.531,0.699,0.002
0.537,0.699,0.002
0.538,0.698,0.002
0.547,0.698,0.002
0.551,0.695,0.002
0.557,0.695,0.002
0.561,0.692,0.002
0.562,0.692,0.002
0.576,0.689,0.002
0.580,0.689,0.002
0.586,0.687,0.002
0.588,0.687,0.002
0.591,0.685,0.002
0.595,0.683,0.002
0.597,0.682,0.002
0.599,0.681,0.002
0.601,0.681,0.001
0.611,0.679,0.001
0.616,0.677,0.001
0.633,0.674,0.001
0.635,0.673,0.001
0.648,0.669,0.001
0.649,0.668,0.001
0.651,0.667,0.001
0.655,0.666,0.001
0.676,0.662,0.001
0.677,0.662,0.001
0.680,0.661,0.001
0.683,0.659,0.001
0.684,0.658,0.001
0.685,0.658,0.001
0.687,0.656,0.001
0.690,0.654,0.001
0.691,0.653,0.001
0.697,0.648,0.001
0.700,0.645,0.001
0.704,0.644,0.001
0.705,0.642,0.001
0.707,0.642,0.001
0.708,0.641,0.001
0.711,0.638,0.001
0.716,0.635,0.001
0.717,0.634,0.001
0.719,0.631,0.001
0.724,0.631,0.001
0.725,0.630,0.001
