recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,0.8750,0.8333,0.8250
N128080,0.9600,0.7778,0.8200
N16767-edited,0.9296,0.9296,0.8889
N22158-edited,0.9286,0.9267,0.8752
N22971-edited,0.6992,0.6992,0.6520
N23417-edited,0.9111,0.9111,0.8444
N23493-edited,0.7467,0.7800,0.6467
N250512,0.8889,0.8889,0.5556
N3568,1.0000,1.0000,0.9167
N37429,0.9167,0.9167,0.6250
N38268,0.9583,0.9250,0.8880
N38516,0.9156,0.9156,0.8933
N39306,0.9264,0.9264,0.9075
N41312-edited,0.8333,0.8333,0.6667
N41564,1.0000,1.0000,0.3333
N44587-edited,0.5556,0.6667,0.3889
N460551,0.7917,0.7917,1.0000
N488610,0.7083,0.7083,0.6250
N500951,0.8333,0.8333,0.3333
N6682-edited,0.8750,0.9062,0.7500
N737290,0.7333,0.8000,0.7333
N98507,0.7778,0.7778,0.7778
XC109766,0.9583,0.9583,0.9167
XC109767,0.9524,0.9498,0.9198
XC109769,0.9777,0.9397,0.9561
XC114554,0.8889,0.8000,1.0000
XC134014-edited,0.4357,0.5071,0.3968
XC144024,0.6667,0.6667,0.6667
XC159959,0.6940,0.7655,0.4976
XC172881,0.8571,0.8571,0.6667
XC215372,0.7778,0.6667,0.6111
XC271361,0.2500,0.2500,0.1667
XC801172-edited,0.9107,0.9107,0.7659
XC812929,0.7893,0.8012,0.6179
