recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,0.9167,0.8869,0.8250
N128080,0.5000,0.5000,0.6250
N16767-edited,0.9667,0.9667,0.8889
N22158-edited,0.8839,0.9077,0.8532
N22971-edited,0.6992,0.7500,0.6298
N23417-edited,0.8833,0.9111,0.8111
N23493-edited,0.7067,0.7467,0.6733
N250512,0.6806,0.6806,0.4444
N3568,0.8516,0.8231,0.9583
N37429,0.6667,0.5000,0.5417
N38268,0.9250,0.8947,0.9213
N38516,0.9014,0.9014,0.8906
N39306,0.8686,0.8248,0.8810
N41312-edited,0.8333,0.8333,0.7500
N41564,0.5000,0.8000,0.1667
N44587-edited,0.4444,0.4444,0.3889
N460551,0.8750,0.6667,0.8750
N488610,0.7917,0.7917,0.6250
N500951,0.8333,0.8333,0.6667
N6682-edited,0.9097,0.8193,0.8125
N737290,0.4318,0.3931,0.7167
N98507,0.8889,0.8889,0.3889
XC109766,0.9583,0.9583,0.9091
XC109767,0.9594,0.9498,0.9080
XC109769,0.9777,0.9777,0.9556
XC114554,0.8889,0.8000,0.8750
XC134014-edited,0.5786,0.5786,0.4683
XC144024,0.6667,0.7500,0.6667
XC159959,0.8929,0.9643,0.7655
XC172881,0.3333,0.8333,0.0000
XC215372,0.8889,0.6667,0.6111
XC271361,0.2667,0.3778,0.2500
XC801172-edited,0.9167,0.9167,0.9583
XC812929,0.5333,0.5217,0.6199
