recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5833
N106834-edited,0.9583,0.9583,0.8250
N128080,0.5000,0.5000,0.6250
N16767-edited,0.8556,0.8556,0.8222
N22158-edited,0.8880,0.8880,0.8990
N22971-edited,0.6786,0.6885,0.6742
N23417-edited,0.8603,0.8603,0.8444
N23493-edited,0.8867,0.8200,0.6400
N250512,0.7262,0.6722,0.5556
N3568,0.9231,0.9231,0.9583
N37429,0.6333,0.6333,0.6250
N38268,0.9259,0.9259,0.9213
N38516,0.8770,0.8770,0.8389
N39306,0.9019,0.9143,0.8932
N41312-edited,0.8333,0.8333,0.7500
N41564,0.5208,0.5476,0.2500
N44587-edited,0.4444,0.4444,0.3889
N460551,0.7083,0.7083,0.8750
N488610,0.8542,0.7708,0.6250
N500951,0.6667,0.6667,0.8333
N6682-edited,0.9688,0.9688,0.7500
N737290,0.5683,0.5701,0.7333
N98507,0.7778,0.7778,0.3889
XC109766,0.9583,0.9167,0.9091
XC109767,0.9293,0.9293,0.8812
XC109769,0.9777,0.9777,0.9431
XC114554,1.0000,1.0000,0.8750
XC134014-edited,0.5286,0.5286,0.3968
XC144024,0.7500,0.7500,0.6667
XC159959,0.7792,0.7792,0.7655
XC172881,0.5455,0.6667,0.7143
XC215372,0.8889,0.7222,0.6111
XC271361,0.5278,0.5278,0.1667
XC801172-edited,0.9583,0.9583,0.8690
XC812929,0.7879,0.7969,0.5644
