recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5833
N106834-edited,0.9167,0.9167,0.7833
N128080,0.5111,0.5111,0.6250
N16767-edited,0.9667,0.9667,0.9259
N22158-edited,0.8880,0.8674,0.8535
N22971-edited,0.6992,0.6669,0.6742
N23417-edited,0.8098,0.8098,0.8475
N23493-edited,0.6733,0.7467,0.6400
N250512,0.5972,0.5472,0.5556
N3568,0.8516,0.8516,0.9583
N37429,0.5333,0.5667,0.6250
N38268,0.9259,0.9259,0.9213
N38516,0.8992,0.8992,0.8711
N39306,0.8393,0.8546,0.8791
N41312-edited,0.8333,0.8333,0.7500
N41564,0.5208,0.5208,0.3333
N44587-edited,0.6667,0.6667,0.3333
N460551,0.8000,0.7000,1.0000
N488610,0.7917,0.8542,0.6250
N500951,0.8333,0.8333,0.6667
N6682-edited,0.9375,0.9722,0.8125
N737290,0.4286,0.3452,0.7667
N98507,0.7778,0.7778,0.6667
XC109766,0.9583,0.9583,0.8377
XC109767,0.9498,0.9376,0.9288
XC109769,0.9397,0.9397,0.9456
XC114554,1.0000,1.0000,0.8750
XC134014-edited,0.5286,0.5786,0.3968
XC144024,1.0000,0.7500,0.6667
XC159959,0.8429,0.8429,0.6738
XC172881,0.7143,0.7143,0.5000
XC215372,0.8889,0.8889,0.6111
XC271361,0.2667,0.2667,0.2500
XC801172-edited,0.9583,0.9583,0.6687
XC812929,0.6233,0.6524,0.7194
