recording,iou_max,iou_0.60,iou_0.80
N100056,0.7083,0.9167,0.5000
N106834-edited,0.9226,0.9018,0.8667
N128080,0.5434,0.4896,0.5203
N16767-edited,0.9667,0.8463,0.9296
N22158-edited,0.6808,0.7917,0.9029
N22971-edited,0.7242,0.6861,0.6520
N23417-edited,0.8333,0.7979,0.8535
N23493-edited,0.6800,0.7467,0.6800
N250512,0.6111,0.4271,0.5556
N3568,1.0000,0.8901,0.9583
N37429,0.4667,0.3333,0.5417
N38268,0.9213,0.9259,0.9213
N38516,0.9156,0.9156,0.8933
N39306,0.8977,0.8219,0.8802
N41312-edited,0.8333,0.7738,0.7500
N41564,0.5833,0.8333,0.1667
N44587-edited,0.5556,0.6667,0.4444
N460551,0.5833,0.1741,0.9167
N488610,0.6250,0.7917,0.6250
N500951,0.6667,0.5000,0.6667
N6682-edited,0.9187,0.6444,0.7812
N737290,0.6389,0.4099,0.7000
N98507,0.5000,0.6667,0.5000
XC109766,0.9545,0.9583,0.7922
XC109767,0.9375,0.9861,0.8590
XC109769,0.9221,0.8976,0.9320
XC114554,0.8750,1.0000,0.7500
XC134014-edited,0.5571,0.5500,0.5238
XC144024,0.6667,0.6000,0.6667
XC159959,0.8155,0.8244,0.7095
XC172881,0.6667,0.7143,0.0000
XC215372,0.7778,0.7778,0.6111
XC271361,0.2833,0.4778,0.2500
XC801172-edited,0.9583,0.9583,0.8690
XC812929,0.4464,0.5163,0.4048
