threshold,iou
0.0000,0.2381
0.0100,0.2381
0.0200,0.2318
0.0300,0.1596
0.0400,0.2923
0.0500,0.4039
0.0600,0.4854
0.0700,0.5369
0.0800,0.5737
0.0900,0.5920
0.1000,0.6237
0.1100,0.6408
0.1200,0.6461
0.1300,0.6565
0.1400,0.6771
0.1500,0.6809
0.1600,0.6974
0.1700,0.6998
0.1800,0.7141
0.1900,0.7232
0.2000,0.7327
0.2100,0.7322
0.2200,0.7457
0.2300,0.7570
0.2400,0.7601
0.2500,0.7656
0.2600,0.7652
0.2700,0.7743
0.2800,0.7720
0.2900,0.7767
0.3000,0.7759
0.3100,0.7796
0.3200,0.7810
0.3300,0.7847
0.3400,0.7833
0.3500,0.7854
0.3600,0.7827
0.3700,0.7848
0.3800,0.7826
0.3900,0.7836
0.4000,0.7871
0.4100,0.7890
0.4200,0.7880
0.4300,0.7896
0.4400,0.7959
0.4500,0.8002
0.4600,0.8014
0.4700,0.8008
0.4800,0.8054
0.4900,0.8064
0.5000,0.8073
0.5100,0.8066
0.5200,0.8081
0.5300,0.8108
0.5400,0.8126
0.5500,0.8116
0.5600,0.8144
0.5700,0.8155
0.5800,0.8138
0.5900,0.8127
0.6000,0.8053
0.6100,0.8074
0.6200,0.8073
0.6300,0.8024
0.6400,0.7991
0.6500,0.7995
0.6600,0.8006
0.6700,0.8029
0.6800,0.8004
0.6900,0.7968
0.7000,0.7962
0.7100,0.7964
0.7200,0.7934
0.7300,0.7948
0.7400,0.7917
0.7500,0.7908
0.7600,0.7890
0.7700,0.7851
0.7800,0.7792
0.7900,0.7676
0.8000,0.7635
0.8100,0.7544
0.8200,0.7399
0.8300,0.7285
0.8400,0.7211
0.8500,0.7078
0.8600,0.6954
0.8700,0.6861
0.8800,0.6755
0.8900,0.6514
0.9000,0.6342
0.9100,0.5921
0.9200,0.5457
0.9300,0.4970
0.9400,0.3950
0.9500,0.2761
0.9600,0.1582
0.9700,0.0626
0.9800,0.0166
0.9900,0.0000
1.0000,0.0000
