recording,iou_max,iou_0.60,iou_0.80
N100056,0.8167,0.8167,0.5333
N106834-edited,0.8452,0.8452,0.8250
N128080,0.9200,0.9200,0.7400
N16767-edited,1.0000,1.0000,0.9630
N22158-edited,0.9524,0.9246,0.8990
N22971-edited,0.7306,0.7056,0.6298
N23417-edited,0.9141,0.9141,0.8778
N23493-edited,0.7800,0.7800,0.6467
N250512,0.8889,0.8889,0.6667
N3568,0.9583,0.9167,0.8750
N37429,0.5833,0.6250,0.5833
N38268,0.9327,0.9327,0.8880
N38516,0.9378,0.9378,0.9128
N39306,0.9394,0.9394,0.9253
N41312-edited,0.8333,0.8333,0.7500
N41564,0.8333,0.8333,0.7500
N44587-edited,0.7222,0.7222,0.5278
N460551,0.4583,0.4583,0.7917
N488610,0.8750,0.8750,0.7083
N500951,0.6667,0.6667,0.7222
N6682-edited,0.9062,0.8750,0.7812
N737290,0.7667,0.6333,0.8000
N98507,0.8889,0.8889,0.7778
XC109766,0.8958,0.8958,0.8958
XC109767,0.8908,0.8908,0.9567
XC109769,0.8553,0.8705,0.9882
XC114554,0.8000,0.8000,1.0000
XC134014-edited,0.4683,0.4683,0.3968
XC144024,1.0000,0.6667,0.6667
XC159959,0.8095,0.8429,0.6226
XC172881,0.8571,0.7143,0.8333
XC215372,0.6389,0.7222,0.7778
XC271361,0.5056,0.5056,0.3611
XC801172-edited,0.9167,0.8690,0.8135
XC812929,0.7536,0.7179,0.5048
