threshold,precision,recall
0.310,0.815,0.793
0.313,0.816,0.793
0.314,0.818,0.793
0.315,0.819,0.792
0.317,0.819,0.792
0.318,0.820,0.792
0.319,0.821,0.791
0.321,0.822,0.790
0.322,0.823,0.790
0.323,0.824,0.790
0.324,0.825,0.789
0.325,0.826,0.789
0.326,0.826,0.788
0.328,0.828,0.788
0.330,0.828,0.786
0.336,0.828,0.785
0.338,0.829,0.784
0.341,0.829,0.783
0.343,0.828,0.782
0.344,0.830,0.782
0.346,0.833,0.782
0.348,0.834,0.782
0.353,0.833,0.781
0.355,0.834,0.781
0.356,0.835,0.781
0.357,0.835,0.780
0.358,0.835,0.778
0.361,0.836,0.777
0.362,0.838,0.777
0.363,0.839,0.776
0.364,0.839,0.775
0.365,0.840,0.775
0.366,0.839,0.774
0.369,0.839,0.773
0.370,0.840,0.773
0.371,0.841,0.773
0.373,0.842,0.773
0.374,0.843,0.773
0.375,0.843,0.772
0.376,0.844,0.772
0.378,0.845,0.772
0.387,0.848,0.772
0.390,0.850,0.772
0.393,0.849,0.770
0.396,0.850,0.769
0.397,0.850,0.768
0.399,0.850,0.767
0.401,0.850,0.766
0.403,0.851,0.766
0.406,0.851,0.765
0.407,0.850,0.763
0.408,0.853,0.763
0.410,0.852,0.762
0.414,0.853,0.761
0.416,0.853,0.759
0.418,0.854,0.759
0.419,0.854,0.758
0.421,0.855,0.758
0.424,0.856,0.757
0.427,0.856,0.755
0.428,0.857,0.754
0.430,0.858,0.754
0.431,0.858,0.753
0.438,0.857,0.751
0.442,0.857,0.750
0.444,0.859,0.750
0.447,0.860,0.750
0.449,0.860,0.747
0.452,0.861,0.747
0.454,0.861,0.745
0.455,0.863,0.744
0.461,0.865,0.744
0.462,0.865,0.741
0.463,0.866,0.739
0.464,0.865,0.738
0.470,0.867,0.738
0.471,0.866,0.737
0.474,0.866,0.736
0.475,0.866,0.735
0.476,0.866,0.734
0.477,0.866,0.732
0.479,0.867,0.732
0.480,0.866,0.730
0.483,0.868,0.730
0.486,0.869,0.730
0.488,0.868,0.728
0.492,0.868,0.727
0.493,0.871,0.727
0.494,0.872,0.727
0.498,0.873,0.727
0.500,0.874,0.727
0.502,0.876,0.727
0.510,0.877,0.727
0.511,0.878,0.726
0.514,0.877,0.722
0.517,0.877,0.721
0.519,0.877,0.719
0.520,0.877,0.718
0.522,0.878,0.718
0.523,0.879,0.715
0.526,0.880,0.715
0.527,0.880,0.714
0.528,0.880,0.713
0.532,0.882,0.712
0.533,0.883,0.711
0.534,0.883,0.710
0.535,0.883,0.708
0.537,0.883,0.707
0.539,0.884,0.707
0.543,0.885,0.707
0.545,0.886,0.707
0.550,0.887,0.706
0.552,0.887,0.705
0.556,0.887,0.704
0.558,0.887,0.700
0.559,0.888,0.700
0.560,0.889,0.698
0.564,0.889,0.696
0.569,0.890,0.696
0.571,0.891,0.693
0.572,0.891,0.692
0.574,0.892,0.692
0.578,0.892,0.691
0.585,0.892,0.690
0.586,0.893,0.690
0.587,0.894,0.690
0.589,0.896,0.690
0.590,0.897,0.690
0.592,0.900,0.689
0.593,0.899,0.688
0.594,0.901,0.688
0.595,0.901,0.687
0.597,0.900,0.685
0.600,0.900,0.683
0.601,0.902,0.683
0.602,0.901,0.682
0.609,0.904,0.681
0.611,0.904,0.680
0.612,0.904,0.677
0.614,0.903,0.676
0.616,0.906,0.676
0.617,0.906,0.675
0.621,0.909,0.675
0.623,0.909,0.674
0.624,0.910,0.674
0.626,0.910,0.673
0.627,0.911,0.673
0.632,0.914,0.673
0.633,0.916,0.673
0.635,0.915,0.669
0.636,0.915,0.668
0.638,0.917,0.668
0.639,0.916,0.667
0.640,0.918,0.667
0.644,0.918,0.666
0.645,0.919,0.666
0.647,0.919,0.665
0.648,0.923,0.665
0.650,0.925,0.665
0.657,0.926,0.665
0.659,0.926,0.664
0.663,0.926,0.662
0.668,0.926,0.661
0.672,0.926,0.659
0.673,0.926,0.658
0.674,0.927,0.657
0.678,0.927,0.656
