recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,0.8667,0.7095,0.8250
N128080,0.4896,0.4896,0.4847
N16767-edited,0.9667,0.9667,0.9259
N22158-edited,0.8660,0.8440,0.9524
N22971-edited,0.6520,0.6742,0.6520
N23417-edited,0.8098,0.7897,0.8778
N23493-edited,0.6400,0.6400,0.5733
N250512,0.6806,0.6806,0.5556
N3568,0.9231,0.9615,0.9167
N37429,0.3333,0.4875,0.4667
N38268,0.9259,0.9259,0.9213
N38516,0.8636,0.8636,0.8733
N39306,0.9014,0.8639,0.8802
N41312-edited,0.7500,0.8333,0.6667
N41564,0.7143,0.6875,0.2222
N44587-edited,0.7778,0.7778,0.5000
N460551,0.5833,0.5000,0.9167
N488610,0.8750,0.8125,0.6250
N500951,0.8889,0.8889,0.5556
N6682-edited,0.8172,0.6194,0.7500
N737290,0.5595,0.3950,0.7000
N98507,0.7778,0.8056,0.7778
XC109766,0.9583,0.8958,0.7202
XC109767,0.9609,0.8087,0.8122
XC109769,0.9326,0.9167,0.9320
XC114554,1.0000,1.0000,0.8750
XC134014-edited,0.5750,0.5750,0.3968
XC144024,1.0000,0.7500,0.6667
XC159959,0.7491,0.8532,0.6940
XC172881,0.7143,0.7143,0.6667
XC215372,0.7778,0.6667,0.6111
XC271361,0.7000,0.6167,0.3111
XC801172-edited,0.9583,0.9583,0.9167
XC812929,0.6798,0.5279,0.2798
