recording,iou_max,iou_0.60,iou_0.80
N100056,0.8167,0.8167,0.6667
N106834-edited,0.9583,0.9643,0.9583
N128080,0.8700,0.8867,0.8700
N16767-edited,0.8963,0.8152,0.8296
N22158-edited,0.9045,0.8663,0.9524
N22971-edited,0.6992,0.7083,0.6742
N23417-edited,0.8326,0.8376,0.8778
N23493-edited,0.8200,0.8600,0.7133
N250512,0.6667,0.6667,0.4444
N3568,0.9583,0.9615,0.9583
N37429,0.9167,0.6667,0.8750
N38268,0.8623,0.8721,0.9213
N38516,0.9378,0.9014,0.8933
N39306,0.8967,0.8781,0.9088
N41312-edited,0.8333,0.8333,0.8333
N41564,1.0000,0.8333,0.1667
N44587-edited,0.5556,0.6333,0.5556
N460551,0.5000,0.3958,0.7917
N488610,0.7708,0.7500,0.6250
N500951,0.6667,0.5778,0.6667
N6682-edited,0.7500,0.8750,0.7500
N737290,0.7200,0.5533,0.7333
N98507,0.8889,0.8889,0.6667
XC109766,0.8958,0.8472,0.8750
XC109767,0.9244,0.8794,0.9208
XC109769,0.9397,0.8825,0.9659
XC114554,0.8889,0.8000,1.0000
XC134014-edited,0.4571,0.5071,0.3968
XC144024,0.6667,0.6667,0.3333
XC159959,0.7571,0.8286,0.6357
XC172881,0.0000,0.1667,0.0000
XC215372,0.8889,0.8889,0.7222
XC271361,0.5056,0.5889,0.3611
XC801172-edited,0.9583,0.9583,0.8690
XC812929,0.7452,0.8310,0.6595
