class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.985,0.999,1.000,0.844,32,27.0,0.0
ALFL,0.981,0.999,0.973,0.783,46,36.0,1.0
AMBI,0.825,0.996,1.000,0.556,9,5.0,0.0
AMCR,0.876,0.988,1.000,0.440,25,11.0,0.0
AMRO,0.947,0.999,1.000,0.667,12,8.0,0.0
BADO,1.000,1.000,1.000,0.909,22,20.0,0.0
BBWA,1.000,1.000,1.000,0.500,6,3.0,0.0
BCCH,0.885,0.996,1.000,0.200,10,2.0,0.0
BEKI,0.878,0.951,1.000,0.375,8,3.0,0.0
BLJA,0.972,0.998,1.000,0.550,20,11.0,0.0
BRCR,0.880,0.998,1.000,0.214,14,3.0,0.0
BTNW,0.966,0.999,1.000,0.842,19,16.0,0.0
CANG,0.906,0.999,0.833,0.833,6,5.0,1.0
CEDW,0.870,0.994,1.000,0.348,23,8.0,0.0
CHSP,0.933,0.990,1.000,0.500,54,27.0,0.0
CMWA,1.000,1.000,0.857,1.000,6,6.0,1.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.955,0.998,1.000,0.864,22,19.0,0.0
DEJU,0.822,0.991,1.000,0.727,11,8.0,0.0
EAKI,1.000,1.000,1.000,1.000,7,7.0,0.0
EATO,0.965,1.000,1.000,0.545,11,6.0,0.0
EAWP,0.989,1.000,1.000,0.833,30,25.0,0.0
FISP,0.994,1.000,1.000,0.667,12,8.0,0.0
GCKI,0.932,0.997,1.000,0.500,12,6.0,0.0
GHOW,0.890,0.989,1.000,0.286,28,8.0,0.0
HETH,0.688,0.937,1.000,0.093,43,4.0,0.0
NHWR,1.000,1.000,1.000,0.889,9,8.0,0.0
NOCA,0.983,0.999,1.000,0.696,23,16.0,0.0
NOFL,0.977,1.000,0.818,0.900,10,9.0,2.0
OVEN,0.991,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.995,1.000,1.000,0.692,13,9.0,0.0
RWBL,0.974,0.999,1.000,0.595,37,22.0,0.0
SWSP,0.887,0.988,1.000,0.487,39,19.0,0.0
SWTH,0.965,0.999,0.800,0.800,10,8.0,2.0
TEWA,0.925,0.988,1.000,0.457,46,21.0,0.0
TRUS,1.000,1.000,1.000,0.250,8,2.0,0.0
VEER,0.787,0.998,1.000,0.250,4,1.0,0.0
WAVI,0.977,1.000,1.000,0.600,10,6.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.972,0.998,1.000,0.548,31,17.0,0.0
WIWA,0.954,0.999,0.875,0.778,9,7.0,1.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,0.250,4,1.0,0.0
WTSP,0.887,0.986,1.000,0.419,43,18.0,0.0
YEWA,0.805,0.995,1.000,0.375,16,6.0,0.0
