threshold,true positive rate,false positive rate
0.016,1.000,1.000
0.017,1.000,1.000
0.018,1.000,1.000
0.019,1.000,1.000
0.020,1.000,1.000
0.021,1.000,0.999
0.022,1.000,0.999
0.023,1.000,0.997
0.024,1.000,0.994
0.025,1.000,0.988
0.026,1.000,0.977
0.027,1.000,0.963
0.028,1.000,0.940
0.029,1.000,0.907
0.030,1.000,0.867
0.031,1.000,0.817
0.032,1.000,0.760
0.033,1.000,0.698
0.034,0.999,0.636
0.035,0.998,0.579
0.036,0.997,0.526
0.037,0.997,0.475
0.038,0.997,0.430
0.039,0.997,0.391
0.040,0.997,0.356
0.041,0.997,0.326
0.042,0.993,0.300
0.043,0.993,0.276
0.044,0.993,0.257
0.045,0.992,0.239
0.046,0.992,0.224
0.047,0.991,0.210
0.048,0.991,0.199
0.049,0.989,0.188
0.050,0.987,0.178
0.051,0.986,0.170
0.052,0.986,0.161
0.053,0.985,0.154
0.054,0.985,0.147
0.055,0.985,0.141
0.056,0.985,0.135
0.057,0.985,0.130
0.058,0.984,0.126
0.059,0.984,0.121
0.060,0.984,0.116
0.061,0.983,0.112
0.062,0.983,0.109
0.063,0.982,0.106
0.064,0.982,0.103
0.065,0.982,0.100
0.066,0.980,0.096
0.067,0.980,0.093
0.068,0.979,0.091
0.069,0.979,0.089
0.070,0.979,0.087
0.071,0.979,0.085
0.072,0.978,0.083
0.073,0.978,0.080
0.075,0.978,0.077
0.076,0.975,0.075
0.077,0.975,0.074
0.078,0.975,0.072
0.079,0.975,0.071
0.080,0.975,0.069
0.081,0.975,0.068
0.082,0.974,0.067
0.083,0.972,0.066
0.084,0.972,0.064
0.085,0.971,0.063
0.086,0.971,0.062
0.087,0.971,0.061
0.088,0.971,0.059
0.089,0.971,0.058
0.090,0.971,0.057
0.091,0.971,0.056
0.092,0.970,0.055
0.093,0.970,0.054
0.094,0.969,0.053
0.095,0.968,0.053
0.096,0.968,0.052
0.097,0.967,0.051
0.098,0.967,0.050
0.099,0.967,0.050
0.100,0.967,0.049
0.101,0.967,0.048
0.102,0.967,0.048
0.103,0.967,0.047
0.104,0.966,0.046
0.105,0.963,0.046
0.106,0.963,0.045
0.107,0.963,0.044
0.108,0.963,0.044
0.109,0.963,0.043
0.110,0.963,0.043
0.111,0.962,0.042
0.112,0.962,0.042
0.113,0.962,0.041
0.114,0.962,0.041
0.115,0.962,0.040
0.116,0.962,0.040
0.117,0.960,0.039
0.118,0.959,0.039
0.119,0.959,0.038
0.120,0.959,0.038
0.121,0.959,0.038
0.122,0.958,0.037
0.123,0.958,0.037
0.124,0.955,0.036
0.125,0.955,0.036
0.126,0.955,0.035
0.127,0.955,0.035
0.128,0.953,0.034
0.129,0.952,0.034
0.130,0.952,0.034
0.131,0.952,0.034
0.132,0.951,0.033
0.133,0.951,0.033
0.134,0.951,0.033
0.135,0.951,0.032
0.136,0.951,0.032
0.138,0.951,0.031
0.139,0.951,0.031
0.140,0.949,0.031
0.141,0.948,0.031
0.142,0.948,0.030
0.143,0.947,0.030
0.144,0.947,0.029
0.146,0.947,0.029
0.147,0.945,0.028
0.148,0.945,0.028
0.150,0.945,0.028
0.151,0.945,0.028
0.152,0.944,0.028
0.155,0.944,0.027
0.156,0.944,0.027
0.157,0.944,0.026
0.159,0.944,0.026
0.160,0.943,0.025
0.161,0.943,0.025
0.162,0.943,0.025
0.163,0.943,0.025
0.164,0.943,0.025
0.165,0.943,0.025
0.166,0.943,0.024
0.167,0.943,0.024
0.168,0.943,0.024
0.169,0.941,0.024
0.170,0.941,0.023
0.172,0.941,0.023
0.173,0.941,0.023
0.174,0.941,0.022
0.177,0.941,0.022
0.178,0.940,0.022
0.179,0.940,0.022
0.181,0.940,0.021
0.182,0.940,0.021
0.183,0.940,0.021
0.184,0.940,0.021
0.186,0.940,0.021
