recording,iou_max,iou_0.60,iou_0.80
N100056,0.4444,0.5500,0.4444
N106834-edited,0.7619,0.3361,0.7619
N128080,0.5227,0.4600,0.5227
N16767-edited,0.6472,0.6190,0.8667
N22158-edited,0.8482,0.5056,0.8482
N22971-edited,0.4994,0.5802,0.4994
N23417-edited,0.8056,0.7071,0.8056
N23493-edited,0.6707,0.5341,0.5589
N250512,0.6667,0.2292,0.6667
N3568,0.9231,0.7500,0.9231
N37429,0.3500,0.2611,0.3500
N38268,0.7869,0.6448,0.7869
N38516,0.7809,0.5982,0.7809
N39306,0.7985,0.5635,0.7985
N41312-edited,0.4233,0.5000,0.4233
N41564,0.2500,0.2917,0.1667
N44587-edited,0.5833,0.3083,0.5833
N460551,0.4000,0.1386,0.4000
N488610,0.6250,0.5104,0.6250
N500951,0.2778,0.2254,0.2778
N6682-edited,0.6111,0.4679,0.5093
N737290,0.6133,0.1996,0.6133
N98507,0.6111,0.4167,0.6111
XC109766,0.8958,0.5243,0.8958
XC109767,0.8903,0.5547,0.8903
XC109769,0.7265,0.6899,0.7265
XC114554,1.0000,0.6667,1.0000
XC134014-edited,0.3968,0.5583,0.3968
XC144024,0.6667,0.5000,0.6667
XC159959,0.7714,0.5790,0.8071
XC172881,0.4444,0.5000,0.4444
XC215372,0.3000,0.2500,0.3000
XC271361,0.2000,0.3000,0.2000
XC801172-edited,0.9583,0.6611,0.9583
XC812929,0.3138,0.5217,0.3333
