recording,iou_max,iou_0.60,iou_0.80
N100056,0.5357,0.5357,0.5357
N106834-edited,0.3155,0.3720,0.3155
N128080,0.4340,0.4340,0.4340
N16767-edited,0.4323,0.2882,0.4366
N22158-edited,0.6819,0.6819,0.6819
N22971-edited,0.5617,0.5617,0.5617
N23417-edited,0.7500,0.7500,0.7500
N23493-edited,0.4583,0.2573,0.4576
N250512,0.2667,0.2576,0.2667
N3568,0.5584,0.5455,0.5584
N37429,0.1833,0.1833,0.1833
N38268,0.6310,0.6237,0.6310
N38516,0.5813,0.4706,0.5813
N39306,0.6309,0.6309,0.6369
N41312-edited,0.4423,0.4423,0.4423
N41564,0.2429,0.2429,0.2429
N44587-edited,0.1742,0.1667,0.1742
N460551,0.1517,0.1414,0.1517
N488610,0.3021,0.2917,0.3097
N500951,0.0859,0.0833,0.0859
N6682-edited,0.5952,0.6013,0.5952
N737290,0.1765,0.1777,0.1765
N98507,0.2409,0.2273,0.2409
XC109766,0.5208,0.5208,0.5208
XC109767,0.4986,0.4908,0.5008
XC109769,0.5053,0.4953,0.5053
XC114554,0.3478,0.3478,0.3478
XC134014-edited,0.5000,0.4840,0.4356
XC144024,0.2500,0.2500,0.2727
XC159959,0.4625,0.3826,0.3873
XC172881,0.3125,0.3529,0.2857
XC215372,0.2000,0.1944,0.1996
XC271361,0.2323,0.2323,0.2444
XC801172-edited,0.4222,0.4286,0.4275
XC812929,0.5417,0.5139,0.5417
