threshold,iou
0.0000,0.2381
0.0100,0.2393
0.0200,0.2584
0.0300,0.1728
0.0400,0.2209
0.0500,0.2856
0.0600,0.3222
0.0700,0.3429
0.0800,0.3425
0.0900,0.3578
0.1000,0.3693
0.1100,0.3646
0.1200,0.3754
0.1300,0.3864
0.1400,0.3905
0.1500,0.3906
0.1600,0.3853
0.1700,0.3906
0.1800,0.3896
0.1900,0.3963
0.2000,0.3967
0.2100,0.3945
0.2200,0.3949
0.2300,0.3987
0.2400,0.3957
0.2500,0.3957
0.2600,0.3981
0.2700,0.4018
0.2800,0.3992
0.2900,0.3970
0.3000,0.3982
0.3100,0.3982
0.3200,0.3948
0.3300,0.3950
0.3400,0.3950
0.3500,0.3954
0.3600,0.3943
0.3700,0.3943
0.3800,0.3961
0.3900,0.3969
0.4000,0.4009
0.4100,0.4026
0.4200,0.4032
0.4300,0.4032
0.4400,0.4111
0.4500,0.4111
0.4600,0.3975
0.4700,0.3975
0.4800,0.3976
0.4900,0.3970
0.5000,0.3941
0.5100,0.3907
0.5200,0.3910
0.5300,0.3910
0.5400,0.3915
0.5500,0.3920
0.5600,0.3958
0.5700,0.3958
0.5800,0.3923
0.5900,0.3927
0.6000,0.3898
0.6100,0.3898
0.6200,0.3901
0.6300,0.3934
0.6400,0.3936
0.6500,0.3975
0.6600,0.4048
0.6700,0.4047
0.6800,0.4050
0.6900,0.4054
0.7000,0.4103
0.7100,0.4138
0.7200,0.4138
0.7300,0.4113
0.7400,0.4117
0.7500,0.4095
0.7600,0.4163
0.7700,0.4137
0.7800,0.4110
0.7900,0.4115
0.8000,0.4108
0.8100,0.4110
0.8200,0.4023
0.8300,0.3977
0.8400,0.3969
0.8500,0.3907
0.8600,0.3818
0.8700,0.3775
0.8800,0.3567
0.8900,0.3411
0.9000,0.3315
0.9100,0.2970
0.9200,0.2580
0.9300,0.2121
0.9400,0.1708
0.9500,0.1277
0.9600,0.0873
0.9700,0.0656
0.9800,0.0223
0.9900,0.0017
1.0000,0.0000
