recording,iou_max,iou_0.60,iou_0.80
N100056,0.6250,0.9167,0.5000
N106834-edited,0.9286,0.9286,0.9083
N128080,0.6500,0.5000,0.6318
N16767-edited,0.9000,0.8222,0.8889
N22158-edited,0.9249,0.9505,0.9267
N22971-edited,0.6520,0.7242,0.6520
N23417-edited,0.9111,0.8838,0.8778
N23493-edited,0.7400,0.8200,0.6733
N250512,0.6667,0.6667,0.5556
N3568,0.9167,0.9199,0.9167
N37429,0.5333,0.4444,0.6250
N38268,0.9213,0.9296,0.9213
N38516,0.9106,0.9214,0.9083
N39306,0.9110,0.9130,0.8778
N41312-edited,0.8333,0.8333,0.7500
N41564,1.0000,0.8000,0.3333
N44587-edited,0.4444,0.5556,0.3333
N460551,0.6667,0.5000,0.8750
N488610,0.7083,0.8542,0.6250
N500951,0.6667,0.8333,0.8333
N6682-edited,0.8750,1.0000,0.7812
N737290,0.5111,0.3552,0.5833
N98507,0.7778,0.7778,0.5556
XC109766,0.8750,0.9583,0.8377
XC109767,0.9392,0.9490,0.8872
XC109769,0.9444,0.9111,0.9221
XC114554,1.0000,0.8000,0.7500
XC134014-edited,0.3968,0.5786,0.3968
XC144024,0.6667,0.5000,0.6667
XC159959,0.7000,0.7357,0.6583
XC172881,0.8333,0.7143,0.3333
XC215372,0.6111,0.6667,0.6111
XC271361,0.2500,0.3778,0.2500
XC801172-edited,0.9583,0.9583,0.9583
XC812929,0.7550,0.6136,0.5895
