threshold,true positive rate,false positive rate
0.014,1.000,1.000
0.015,1.000,1.000
0.016,1.000,1.000
0.017,1.000,0.999
0.018,1.000,0.999
0.019,1.000,0.998
0.020,1.000,0.996
0.021,1.000,0.993
0.022,1.000,0.990
0.023,1.000,0.985
0.024,1.000,0.978
0.025,1.000,0.965
0.026,1.000,0.945
0.027,1.000,0.920
0.028,0.999,0.885
0.029,0.999,0.845
0.030,0.999,0.797
0.031,0.997,0.744
0.032,0.997,0.688
0.033,0.997,0.630
0.034,0.995,0.576
0.035,0.995,0.525
0.036,0.994,0.477
0.037,0.992,0.432
0.038,0.991,0.392
0.039,0.991,0.358
0.040,0.990,0.326
0.041,0.990,0.299
0.042,0.990,0.274
0.043,0.989,0.254
0.044,0.985,0.235
0.045,0.985,0.218
0.046,0.984,0.204
0.047,0.984,0.190
0.048,0.983,0.179
0.049,0.983,0.169
0.050,0.982,0.159
0.051,0.979,0.151
0.052,0.978,0.143
0.053,0.978,0.136
0.054,0.977,0.130
0.055,0.976,0.125
0.056,0.975,0.119
0.057,0.974,0.114
0.058,0.974,0.110
0.059,0.972,0.106
0.060,0.972,0.102
0.061,0.971,0.099
0.062,0.970,0.095
0.063,0.970,0.092
0.064,0.970,0.089
0.065,0.969,0.087
0.066,0.967,0.085
0.067,0.967,0.082
0.068,0.966,0.080
0.069,0.964,0.078
0.070,0.964,0.076
0.071,0.963,0.074
0.072,0.963,0.072
0.073,0.962,0.071
0.074,0.962,0.069
0.075,0.962,0.067
0.076,0.961,0.066
0.077,0.961,0.064
0.078,0.960,0.063
0.079,0.960,0.062
0.080,0.959,0.061
0.081,0.959,0.059
0.082,0.959,0.058
0.083,0.959,0.057
0.084,0.958,0.056
0.085,0.958,0.055
0.086,0.958,0.055
0.087,0.958,0.054
0.088,0.956,0.053
0.089,0.956,0.052
0.090,0.955,0.051
0.091,0.955,0.050
0.092,0.955,0.050
0.093,0.955,0.049
0.094,0.955,0.048
0.095,0.955,0.047
0.096,0.954,0.047
0.097,0.954,0.046
0.098,0.954,0.046
0.099,0.954,0.045
0.100,0.952,0.045
0.101,0.952,0.044
0.102,0.951,0.043
0.103,0.951,0.043
0.104,0.951,0.042
0.105,0.949,0.042
0.106,0.948,0.041
0.107,0.948,0.041
0.108,0.948,0.040
0.110,0.948,0.039
0.111,0.948,0.039
0.112,0.948,0.038
0.113,0.947,0.038
0.114,0.947,0.038
0.115,0.946,0.037
0.116,0.946,0.037
0.117,0.946,0.037
0.118,0.946,0.036
0.119,0.945,0.035
0.120,0.944,0.035
0.121,0.944,0.034
0.122,0.943,0.034
0.123,0.943,0.033
0.124,0.943,0.033
0.126,0.943,0.032
0.127,0.943,0.032
0.128,0.943,0.031
0.129,0.941,0.031
0.130,0.940,0.031
0.131,0.940,0.031
0.132,0.939,0.030
0.133,0.939,0.030
0.134,0.939,0.030
0.135,0.939,0.029
0.136,0.939,0.029
0.137,0.937,0.029
0.138,0.937,0.029
0.140,0.937,0.028
0.141,0.937,0.028
0.142,0.935,0.027
0.143,0.935,0.027
0.144,0.935,0.027
0.145,0.935,0.027
0.146,0.935,0.027
0.147,0.935,0.027
0.148,0.932,0.026
0.149,0.932,0.026
0.150,0.932,0.026
0.151,0.932,0.026
0.152,0.932,0.025
0.153,0.932,0.025
0.154,0.931,0.025
0.155,0.931,0.025
0.157,0.931,0.024
0.158,0.931,0.024
0.159,0.931,0.024
0.160,0.931,0.024
0.161,0.931,0.024
0.162,0.931,0.024
0.163,0.931,0.023
0.164,0.930,0.023
0.165,0.930,0.023
0.166,0.930,0.023
0.167,0.930,0.023
0.168,0.929,0.022
0.169,0.929,0.022
0.170,0.928,0.022
0.171,0.928,0.022
0.172,0.925,0.022
0.173,0.925,0.022
0.174,0.925,0.021
0.175,0.925,0.021
0.176,0.925,0.021
0.177,0.925,0.021
0.178,0.925,0.021
0.179,0.924,0.020
0.180,0.924,0.020
0.181,0.924,0.020
0.182,0.924,0.020
0.184,0.922,0.020
0.185,0.921,0.020
0.186,0.921,0.019
0.188,0.918,0.019
0.189,0.917,0.019
0.190,0.916,0.019
0.191,0.916,0.019
