roc_recall,one_minus_fpr,roc_precision
0.000,1.000,1.000
0.010,1.000,1.000
0.020,1.000,1.000
0.030,1.000,1.000
0.040,1.000,1.000
0.050,1.000,1.000
0.060,1.000,1.000
0.070,1.000,1.000
0.080,1.000,1.000
0.090,1.000,1.000
0.100,1.000,1.000
0.110,1.000,1.000
0.120,1.000,1.000
0.130,1.000,1.000
0.140,1.000,1.000
0.150,1.000,1.000
0.160,1.000,1.000
0.170,1.000,1.000
0.180,1.000,1.000
0.190,1.000,1.000
0.200,1.000,1.000
0.210,1.000,1.000
0.220,1.000,0.999
0.230,1.000,0.993
0.240,1.000,0.988
0.250,1.000,0.988
0.260,1.000,0.989
0.270,1.000,0.986
0.280,1.000,0.985
0.290,1.000,0.985
0.300,1.000,0.986
0.310,1.000,0.986
0.320,1.000,0.986
0.330,1.000,0.987
0.340,1.000,0.988
0.350,1.000,0.988
0.360,1.000,0.989
0.370,1.000,0.989
0.380,1.000,0.990
0.390,1.000,0.990
0.400,1.000,0.990
0.410,1.000,0.991
0.420,1.000,0.991
0.430,1.000,0.989
0.440,1.000,0.986
0.450,1.000,0.986
0.460,1.000,0.986
0.470,1.000,0.987
0.480,1.000,0.987
0.490,1.000,0.987
0.500,1.000,0.987
0.510,1.000,0.988
0.520,1.000,0.988
0.530,1.000,0.988
0.540,1.000,0.986
0.550,1.000,0.987
0.560,1.000,0.987
0.570,1.000,0.987
0.580,1.000,0.987
0.590,0.999,0.985
0.600,0.999,0.982
0.610,0.999,0.977
0.620,0.999,0.972
0.630,0.999,0.972
0.640,0.999,0.970
0.650,0.999,0.967
0.660,0.999,0.964
0.670,0.999,0.963
0.680,0.999,0.961
0.690,0.999,0.959
0.700,0.999,0.957
0.710,0.999,0.955
0.720,0.999,0.954
0.730,0.998,0.951
0.740,0.998,0.945
0.750,0.998,0.942
0.760,0.998,0.937
0.770,0.997,0.926
0.780,0.997,0.920
0.790,0.997,0.911
0.800,0.995,0.891
0.810,0.994,0.875
0.820,0.993,0.858
0.830,0.992,0.821
0.840,0.990,0.795
0.850,0.989,0.784
0.860,0.986,0.743
0.870,0.983,0.703
0.880,0.979,0.672
0.890,0.973,0.637
0.900,0.966,0.604
0.910,0.956,0.572
0.920,0.946,0.558
0.930,0.928,0.532
0.940,0.907,0.512
0.950,0.874,0.496
0.960,0.829,0.489
0.970,0.735,0.478
0.980,0.616,0.473
0.990,0.397,0.469
1.000,0.199,0.235
1.010,0.000,0.000
