recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,0.6595,0.7733,0.8667
N128080,0.5111,0.5111,0.5470
N16767-edited,0.8556,0.7530,0.9296
N22158-edited,0.7099,0.6758,0.8712
N22971-edited,0.7278,0.6273,0.6742
N23417-edited,0.8833,0.6244,0.8778
N23493-edited,0.7133,0.7467,0.6067
N250512,0.6444,0.5694,0.4444
N3568,0.8516,0.8516,0.9167
N37429,0.5881,0.5208,0.7083
N38268,0.9583,0.9583,0.8880
N38516,0.9156,0.7630,0.9128
N39306,0.9383,0.7837,0.8932
N41312-edited,0.8333,0.7738,0.8333
N41564,1.0000,0.8333,0.3333
N44587-edited,0.5556,0.5556,0.3889
N460551,0.3038,0.2364,0.6333
N488610,0.7917,0.7917,0.6250
N500951,0.6667,0.6667,0.5000
N6682-edited,0.9097,0.7778,0.7812
N737290,0.6389,0.3750,0.7333
N98507,0.8889,1.0000,0.5000
XC109766,0.9545,0.9167,0.7922
XC109767,0.9427,0.8565,0.8552
XC109769,0.9320,0.9040,0.9431
XC114554,1.0000,1.0000,0.7500
XC134014-edited,0.4683,0.5952,0.3968
XC144024,0.6667,0.5000,0.6667
XC159959,0.7655,0.8071,0.4250
XC172881,0.0000,0.0000,0.0000
XC215372,0.5833,0.5833,0.4444
XC271361,0.3667,0.4333,0.2500
XC801172-edited,0.9583,0.9583,0.8075
XC812929,0.6035,0.7108,0.2905
