recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,0.8667,0.9083,0.8250
N128080,0.5000,0.5000,0.6250
N16767-edited,0.9667,0.9667,0.8889
N22158-edited,0.9487,0.8869,0.8950
N22971-edited,0.6250,0.5946,0.6742
N23417-edited,0.8833,0.8598,0.8778
N23493-edited,0.7133,0.7800,0.6400
N250512,0.7222,0.6806,0.5556
N3568,0.8846,0.8615,0.9583
N37429,0.6333,0.6131,0.6250
N38268,0.9583,0.8926,0.9213
N38516,0.9414,0.8962,0.8497
N39306,0.9264,0.8988,0.9110
N41312-edited,0.8333,0.8333,0.7500
N41564,0.8750,0.6333,0.3333
N44587-edited,0.5556,0.6667,0.4444
N460551,1.0000,1.0000,0.8750
N488610,0.7917,0.7917,0.6250
N500951,0.6667,0.6667,0.5000
N6682-edited,0.9375,0.9132,0.7812
N737290,0.7500,0.5556,0.8000
N98507,0.8889,0.8889,0.5556
XC109766,0.9583,0.8958,0.9167
XC109767,0.9359,0.9179,0.9115
XC109769,0.9777,0.9397,0.9444
XC114554,1.0000,0.8000,0.7500
XC134014-edited,0.5071,0.5786,0.3968
XC144024,0.7500,0.6000,0.6667
XC159959,0.8512,0.8512,0.8512
XC172881,0.6667,0.6667,0.7143
XC215372,0.7222,0.8889,0.6111
XC271361,0.3333,0.3333,0.1667
XC801172-edited,0.9583,0.9583,0.8631
XC812929,0.7611,0.8081,0.6041
