recording,iou_max,iou_0.60,iou_0.80
N100056,0.7500,0.8333,0.6667
N106834-edited,0.9286,0.8571,0.8667
N128080,0.7393,0.6091,0.8067
N16767-edited,0.9333,0.8667,0.8593
N22158-edited,0.9077,0.9299,0.9029
N22971-edited,0.7464,0.7250,0.6770
N23417-edited,0.8326,0.8175,0.8535
N23493-edited,0.8133,0.8867,0.6800
N250512,0.8889,0.7222,0.6667
N3568,0.9231,0.9231,0.9583
N37429,0.7500,0.6667,0.8750
N38268,0.9630,0.9327,0.9213
N38516,0.9378,0.9014,0.8933
N39306,0.8986,0.8649,0.9075
N41312-edited,0.8333,0.8333,0.7500
N41564,0.6667,0.7083,0.1667
N44587-edited,0.5000,0.5778,0.4167
N460551,0.7500,0.5417,0.8750
N488610,0.8542,1.0000,0.6250
N500951,0.5000,0.3889,0.6667
N6682-edited,0.9410,0.9444,0.8438
N737290,0.6389,0.6083,0.6667
N98507,0.8889,0.8333,0.6667
XC109766,1.0000,0.8958,0.9091
XC109767,0.9743,0.9934,0.8938
XC109769,0.9882,0.9491,0.9431
XC114554,1.0000,0.8889,1.0000
XC134014-edited,0.5952,0.5250,0.4683
XC144024,0.6667,0.6667,0.6667
XC159959,0.7655,0.8929,0.7179
XC172881,0.6250,0.7500,0.7143
XC215372,0.8889,0.7778,0.5556
XC271361,0.3667,0.3667,0.2500
XC801172-edited,0.9583,0.8690,0.9167
XC812929,0.7238,0.7655,0.5048
