threshold,precision,recall
0.282,0.678,0.904
0.283,0.679,0.904
0.284,0.680,0.904
0.286,0.681,0.904
0.287,0.684,0.904
0.289,0.685,0.904
0.290,0.686,0.904
0.291,0.687,0.904
0.292,0.689,0.904
0.293,0.690,0.904
0.294,0.692,0.904
0.298,0.693,0.902
0.299,0.694,0.902
0.300,0.695,0.902
0.301,0.696,0.902
0.302,0.696,0.901
0.303,0.698,0.900
0.304,0.698,0.900
0.305,0.699,0.900
0.307,0.702,0.900
0.308,0.704,0.900
0.310,0.704,0.900
0.311,0.706,0.900
0.313,0.708,0.900
0.314,0.708,0.900
0.315,0.709,0.899
0.316,0.711,0.899
0.317,0.712,0.899
0.318,0.714,0.899
0.319,0.714,0.899
0.320,0.715,0.899
0.321,0.716,0.899
0.322,0.718,0.899
0.323,0.720,0.899
0.327,0.722,0.899
0.330,0.722,0.898
0.332,0.723,0.898
0.333,0.724,0.898
0.334,0.725,0.898
0.335,0.726,0.897
0.337,0.727,0.897
0.338,0.727,0.897
0.339,0.728,0.896
0.342,0.730,0.896
0.343,0.732,0.896
0.344,0.732,0.896
0.346,0.733,0.896
0.347,0.735,0.896
0.348,0.736,0.896
0.349,0.736,0.894
0.350,0.736,0.894
0.351,0.738,0.894
0.352,0.738,0.893
0.353,0.739,0.893
0.354,0.740,0.893
0.355,0.741,0.893
0.357,0.742,0.893
0.359,0.742,0.893
0.360,0.743,0.893
0.361,0.744,0.893
0.362,0.746,0.892
0.365,0.746,0.892
0.366,0.748,0.892
0.367,0.749,0.892
0.368,0.749,0.891
0.369,0.749,0.890
0.370,0.750,0.890
0.371,0.750,0.889
0.372,0.751,0.887
0.376,0.752,0.887
0.377,0.753,0.887
0.378,0.754,0.887
0.380,0.755,0.886
0.381,0.756,0.886
0.382,0.759,0.886
0.383,0.761,0.886
0.385,0.760,0.885
0.386,0.761,0.883
0.387,0.760,0.882
0.388,0.763,0.882
0.389,0.763,0.882
0.391,0.764,0.882
0.392,0.766,0.882
0.393,0.765,0.881
0.394,0.767,0.881
0.395,0.769,0.881
0.396,0.772,0.881
0.397,0.771,0.879
0.398,0.771,0.878
0.400,0.772,0.878
0.401,0.774,0.878
0.402,0.776,0.877
0.403,0.776,0.877
0.405,0.777,0.876
0.406,0.779,0.876
0.407,0.781,0.875
0.408,0.781,0.874
