recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.6667
N106834-edited,0.9583,0.9018,0.8250
N128080,0.5105,0.5026,0.5551
N16767-edited,0.9630,0.6972,0.9259
N22158-edited,0.9079,0.8889,0.8791
N22971-edited,0.7242,0.7278,0.6520
N23417-edited,0.8333,0.8376,0.8535
N23493-edited,0.7467,0.7467,0.6800
N250512,0.5000,0.3467,0.5556
N3568,0.8516,0.8516,0.9231
N37429,0.5833,0.5000,0.6250
N38268,0.8956,0.8956,0.9213
N38516,0.8956,0.8956,0.8511
N39306,0.8743,0.8111,0.8659
N41312-edited,0.8333,0.8333,0.7500
N41564,0.7000,0.5833,0.3333
N44587-edited,0.5556,0.5000,0.4444
N460551,0.3708,0.3208,0.5833
N488610,0.7083,0.8542,0.6250
N500951,0.7222,0.7222,0.8333
N6682-edited,0.8562,0.6909,0.8125
N737290,0.5238,0.4833,0.8000
N98507,0.7778,0.7778,0.5000
XC109766,0.8958,0.8958,1.0000
XC109767,0.9376,0.9124,0.8851
XC109769,0.9326,0.9310,0.9431
XC114554,1.0000,1.0000,0.8750
XC134014-edited,0.5786,0.6375,0.4683
XC144024,0.6667,0.7500,0.6667
XC159959,0.8929,0.8869,0.7952
XC172881,0.5000,0.5000,0.0000
XC215372,0.8889,0.8889,0.4444
XC271361,0.5889,0.6167,0.3111
XC801172-edited,0.8750,0.8750,0.9583
XC812929,0.7238,0.5790,0.5048
