threshold,precision,recall
0.287,0.670,0.898
0.289,0.671,0.898
0.290,0.672,0.898
0.291,0.674,0.898
0.293,0.675,0.898
0.294,0.675,0.897
0.295,0.676,0.897
0.296,0.677,0.897
0.297,0.677,0.896
0.298,0.681,0.896
0.299,0.682,0.896
0.300,0.683,0.894
0.301,0.683,0.893
0.302,0.684,0.893
0.304,0.685,0.892
0.306,0.686,0.892
0.307,0.688,0.892
0.308,0.689,0.891
0.310,0.689,0.890
0.311,0.690,0.890
0.312,0.693,0.890
0.313,0.694,0.890
0.314,0.694,0.889
0.315,0.694,0.889
0.316,0.696,0.889
0.318,0.697,0.889
0.319,0.698,0.889
0.320,0.699,0.889
0.321,0.700,0.889
0.323,0.700,0.889
0.324,0.701,0.889
0.326,0.703,0.889
0.328,0.704,0.889
0.329,0.704,0.889
0.330,0.705,0.889
0.331,0.706,0.889
0.332,0.706,0.889
0.334,0.707,0.889
0.335,0.709,0.887
0.336,0.714,0.887
0.337,0.714,0.887
0.338,0.715,0.885
0.339,0.716,0.885
0.340,0.717,0.885
0.341,0.718,0.885
0.342,0.718,0.884
0.343,0.718,0.882
0.344,0.720,0.882
0.345,0.720,0.882
0.346,0.721,0.882
0.347,0.722,0.882
0.348,0.723,0.882
0.349,0.724,0.882
0.350,0.725,0.882
0.351,0.725,0.882
0.353,0.726,0.882
0.355,0.726,0.879
0.356,0.727,0.879
0.357,0.728,0.879
0.358,0.729,0.878
0.359,0.729,0.876
0.360,0.729,0.876
0.362,0.730,0.876
0.364,0.731,0.875
0.366,0.731,0.875
0.367,0.733,0.875
0.368,0.733,0.875
0.369,0.734,0.875
0.372,0.736,0.875
0.373,0.739,0.874
0.374,0.739,0.871
0.375,0.740,0.871
0.376,0.740,0.870
0.377,0.741,0.869
0.378,0.742,0.869
0.381,0.743,0.869
0.382,0.743,0.868
0.383,0.744,0.868
0.384,0.745,0.868
0.385,0.746,0.868
0.386,0.746,0.868
0.387,0.749,0.868
0.389,0.750,0.868
0.390,0.751,0.868
0.391,0.751,0.868
0.393,0.752,0.868
0.394,0.753,0.868
0.395,0.754,0.868
0.396,0.753,0.866
0.397,0.753,0.865
0.398,0.755,0.865
0.400,0.756,0.865
0.401,0.759,0.865
0.402,0.761,0.865
0.404,0.763,0.865
0.406,0.764,0.865
0.407,0.766,0.865
0.408,0.767,0.865
0.409,0.770,0.865
0.413,0.771,0.865
0.414,0.772,0.865
0.415,0.772,0.865
0.417,0.773,0.865
0.418,0.774,0.865
0.419,0.775,0.862
0.421,0.776,0.861
0.423,0.777,0.861
0.424,0.778,0.860
0.425,0.781,0.858
0.427,0.781,0.858
0.428,0.782,0.858
0.429,0.784,0.858
0.430,0.785,0.858
0.431,0.786,0.856
0.433,0.787,0.855
0.434,0.788,0.854
0.436,0.790,0.853
0.437,0.790,0.853
0.439,0.790,0.852
0.440,0.791,0.851
0.441,0.792,0.851
0.442,0.795,0.850
0.444,0.794,0.847
0.446,0.795,0.847
0.449,0.796,0.847
0.452,0.796,0.846
0.453,0.798,0.846
0.454,0.797,0.845
0.455,0.798,0.843
0.456,0.797,0.840
0.457,0.798,0.840
0.458,0.800,0.839
0.459,0.802,0.839
0.460,0.803,0.838
0.461,0.807,0.838
0.462,0.808,0.838
0.464,0.808,0.838
0.465,0.811,0.838
0.466,0.812,0.837
0.467,0.813,0.837
0.473,0.814,0.837
0.475,0.817,0.836
0.476,0.818,0.836
0.477,0.819,0.835
0.478,0.820,0.835
0.480,0.822,0.835
0.481,0.822,0.834
0.483,0.824,0.834
0.484,0.826,0.832
0.485,0.826,0.831
0.487,0.826,0.831
0.488,0.827,0.831
0.489,0.828,0.830
0.490,0.830,0.829
0.491,0.831,0.828
0.492,0.833,0.828
0.493,0.834,0.827
0.494,0.834,0.825
0.495,0.834,0.823
0.496,0.834,0.822
0.497,0.834,0.821
0.498,0.835,0.821
0.499,0.835,0.820
0.500,0.836,0.820
0.502,0.836,0.819
0.504,0.838,0.819
0.506,0.839,0.819
0.508,0.840,0.817
0.509,0.842,0.817
0.511,0.841,0.815
0.512,0.841,0.814
0.514,0.842,0.814
0.515,0.843,0.814
0.517,0.844,0.813
0.518,0.846,0.813
0.519,0.847,0.812
0.521,0.848,0.811
0.522,0.847,0.809
0.524,0.848,0.809
0.526,0.850,0.808
0.527,0.851,0.808
0.528,0.851,0.807
0.529,0.852,0.807
0.530,0.852,0.806
0.531,0.853,0.806
0.533,0.855,0.805
0.534,0.856,0.805
0.535,0.857,0.805
0.536,0.858,0.805
0.537,0.861,0.805
0.538,0.862,0.805
0.541,0.863,0.805
0.542,0.864,0.805
0.543,0.865,0.805
0.544,0.866,0.803
0.545,0.867,0.803
0.547,0.867,0.800
0.548,0.869,0.799
0.549,0.869,0.798
0.550,0.870,0.797
0.553,0.871,0.797
0.555,0.871,0.796
0.557,0.872,0.794
0.559,0.872,0.793
0.561,0.874,0.793
0.562,0.873,0.792
0.563,0.875,0.792
0.564,0.874,0.790
0.566,0.874,0.789
0.567,0.874,0.788
0.570,0.875,0.788
0.573,0.875,0.786
0.575,0.877,0.786
