class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.981,0.998,1.000,0.875,32,28.0,0.0
ALFL,0.984,0.999,1.000,0.739,46,34.0,0.0
AMBI,0.711,0.981,1.000,0.444,9,4.0,0.0
AMCR,0.865,0.991,1.000,0.560,25,14.0,0.0
AMRO,0.957,0.999,1.000,0.667,12,8.0,0.0
BADO,0.994,1.000,0.950,0.864,22,19.0,1.0
BBWA,1.000,1.000,1.000,0.333,6,2.0,0.0
BCCH,0.945,0.998,1.000,0.900,10,9.0,0.0
BEKI,0.925,0.998,1.000,0.750,8,6.0,0.0
BLJA,0.966,0.998,1.000,0.650,20,13.0,0.0
BRCR,0.807,0.996,1.000,0.357,14,5.0,0.0
BTNW,0.980,0.999,0.941,0.842,19,16.0,1.0
CANG,0.873,0.999,0.833,0.833,6,5.0,1.0
CEDW,0.865,0.994,1.000,0.522,23,12.0,0.0
CHSP,0.927,0.990,0.933,0.519,54,28.0,2.0
CMWA,1.000,1.000,0.857,1.000,6,6.0,1.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.983,0.999,1.000,0.909,22,20.0,0.0
DEJU,0.617,0.989,0.636,0.636,11,7.0,4.0
EAKI,1.000,1.000,1.000,0.857,7,6.0,0.0
EATO,0.941,0.999,1.000,0.545,11,6.0,0.0
EAWP,0.999,1.000,1.000,0.833,30,25.0,0.0
FISP,0.994,1.000,1.000,0.750,12,9.0,0.0
GCKI,0.972,0.999,1.000,0.417,12,5.0,0.0
GHOW,0.892,0.994,1.000,0.357,28,10.0,0.0
HETH,0.596,0.911,0.889,0.186,43,8.0,1.0
NHWR,1.000,1.000,1.000,0.889,9,8.0,0.0
NOCA,0.994,1.000,1.000,0.783,23,18.0,0.0
NOFL,0.967,0.999,1.000,0.900,10,9.0,0.0
OVEN,0.991,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,1.000,1.000,1.000,0.692,13,9.0,0.0
RWBL,0.976,0.998,1.000,0.757,37,28.0,0.0
SWSP,0.781,0.974,1.000,0.256,39,10.0,0.0
SWTH,0.898,0.999,0.778,0.700,10,7.0,2.0
TEWA,0.939,0.991,1.000,0.609,46,28.0,0.0
TRUS,1.000,1.000,1.000,0.500,8,4.0,0.0
VEER,0.893,0.999,1.000,0.500,4,2.0,0.0
WAVI,0.942,0.999,1.000,0.600,10,6.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.942,0.993,1.000,0.677,31,21.0,0.0
WIWA,1.000,1.000,0.900,1.000,9,9.0,1.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.871,0.976,1.000,0.395,43,17.0,0.0
YEWA,0.808,0.994,1.000,0.438,16,7.0,0.0
