recording,iou_max,iou_0.60,iou_0.80
N100056,0.8167,0.8167,0.5833
N106834-edited,0.8452,0.8869,0.8250
N128080,0.9200,0.8800,0.8300
N16767-edited,0.9296,0.9296,0.9259
N22158-edited,0.9286,0.9048,0.8712
N22971-edited,0.7778,0.7492,0.6770
N23417-edited,0.9444,0.9444,0.8778
N23493-edited,0.7867,0.7800,0.7133
N250512,0.8889,0.8889,0.6667
N3568,1.0000,0.9583,0.9167
N37429,0.6250,0.6250,0.5833
N38268,0.9296,0.9296,0.8546
N38516,0.8978,0.9178,0.8667
N39306,0.8997,0.8997,0.9086
N41312-edited,0.8333,0.8333,0.8333
N41564,0.8333,0.8333,0.3333
N44587-edited,0.7222,0.7222,0.6667
N460551,0.5000,0.5000,0.7500
N488610,0.8750,0.9375,0.7083
N500951,0.6111,0.5000,0.3889
N6682-edited,0.9688,0.9375,0.7812
N737290,0.7333,0.8833,0.8667
N98507,0.8889,0.8889,0.6667
XC109766,0.8472,0.8472,0.8958
XC109767,0.8573,0.8794,0.9545
XC109769,0.8339,0.8553,0.9882
XC114554,0.8000,0.8000,1.0000
XC134014-edited,0.4683,0.3968,0.3254
XC144024,0.6667,0.6667,0.6667
XC159959,0.8429,0.8071,0.6821
XC172881,1.0000,0.8333,0.0000
XC215372,0.7778,0.6667,0.7222
XC271361,0.8333,0.7500,0.5556
XC801172-edited,0.9583,0.9583,0.9107
XC812929,0.7952,0.7595,0.5048
