recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5833
N106834-edited,0.9226,0.9018,0.9167
N128080,0.5227,0.5000,0.7083
N16767-edited,0.8667,0.7677,0.8333
N22158-edited,0.9048,0.8857,0.9249
N22971-edited,0.6992,0.6088,0.6770
N23417-edited,0.8838,0.8910,0.8475
N23493-edited,0.7800,0.8533,0.6733
N250512,0.6667,0.6111,0.4444
N3568,0.8846,0.8516,0.9167
N37429,0.6250,0.5667,0.6250
N38268,0.9213,0.8926,0.9213
N38516,0.8992,0.8836,0.8889
N39306,0.9110,0.8536,0.9075
N41312-edited,0.8333,0.8333,0.7500
N41564,0.5833,0.4500,0.1667
N44587-edited,0.4444,0.4444,0.5000
N460551,0.7500,0.5000,0.7500
N488610,0.7083,0.8542,0.6250
N500951,1.0000,0.8333,0.8333
N6682-edited,0.8125,0.8611,0.7812
N737290,0.3583,0.3219,0.5833
N98507,0.7778,0.6667,0.3889
XC109766,0.9583,0.8472,0.9545
XC109767,0.9838,0.9338,0.9128
XC109769,0.9777,0.9397,0.9895
XC114554,1.0000,0.8000,0.7500
XC134014-edited,0.5286,0.5786,0.3968
XC144024,0.6667,0.6667,0.6667
XC159959,0.8071,0.7738,0.6583
XC172881,0.7143,0.7500,0.8333
XC215372,0.7778,0.6667,0.7778
XC271361,0.2500,0.3500,0.2500
XC801172-edited,0.9583,0.9583,0.9583
XC812929,0.8458,0.8833,0.6655
