recording,iou_max,iou_0.60,iou_0.80
N100056,0.7083,0.9167,0.5833
N106834-edited,0.9167,0.9226,0.8667
N128080,0.7625,0.5852,0.7544
N16767-edited,0.7926,0.8222,0.8889
N22158-edited,0.8667,0.7623,0.8582
N22971-edited,0.6992,0.5817,0.6742
N23417-edited,0.9111,0.8864,0.8778
N23493-edited,0.6733,0.7400,0.5733
N250512,0.6667,0.5472,0.6667
N3568,0.9231,0.8615,0.9583
N37429,0.6250,0.5417,0.6250
N38268,0.8614,0.8623,0.9213
N38516,0.9378,0.7512,0.8933
N39306,0.8371,0.8059,0.8552
N41312-edited,0.7500,0.8333,0.6667
N41564,0.4500,0.7143,0.1667
N44587-edited,0.5556,0.6667,0.4444
N460551,0.7000,0.7000,1.0000
N488610,0.6250,0.8750,0.6250
N500951,0.8333,0.8333,0.8333
N6682-edited,0.8438,0.9375,0.7812
N737290,0.7667,0.4690,0.7667
N98507,0.8889,0.7222,0.7778
XC109766,0.9167,0.9583,0.9545
XC109767,0.9774,0.9359,0.9219
XC109769,0.9444,0.9206,0.9438
XC114554,1.0000,0.8000,1.0000
XC134014-edited,0.5397,0.4889,0.4683
XC144024,0.6667,0.5000,0.6667
XC159959,0.8571,0.8929,0.7952
XC172881,0.7143,0.6667,0.8333
XC215372,0.7222,0.6667,0.6111
XC271361,0.2500,0.3333,0.2500
XC801172-edited,0.9583,0.9583,0.9583
XC812929,0.7374,0.8160,0.6271
