recording,iou_max,iou_0.60,iou_0.80
N100056,0.8167,0.8167,0.6667
N106834-edited,0.8750,0.9167,0.8250
N128080,0.8800,0.9200,0.7400
N16767-edited,1.0000,0.9630,0.9630
N22158-edited,0.9286,0.9286,0.8770
N22971-edited,0.6770,0.7028,0.6270
N23417-edited,0.9444,0.9444,0.8778
N23493-edited,0.6800,0.7133,0.6133
N250512,0.8889,0.8056,0.6667
N3568,0.9167,0.9583,0.9167
N37429,0.6250,0.5417,0.7917
N38268,0.9259,0.9259,0.9213
N38516,0.9156,0.8956,0.8933
N39306,0.9121,0.9264,0.9253
N41312-edited,0.8333,0.8333,0.6667
N41564,0.8333,0.8333,0.3333
N44587-edited,0.7222,0.6667,0.5278
N460551,0.5000,0.3958,0.5833
N488610,0.7083,0.7083,0.7083
N500951,0.6667,0.6667,0.8333
N6682-edited,0.9688,1.0000,0.8750
N737290,0.8333,0.7667,0.7333
N98507,0.8889,0.8889,0.6667
XC109766,0.8958,0.8958,0.7083
XC109767,0.9199,0.8769,0.9199
XC109769,0.9310,0.8872,0.9654
XC114554,0.8000,0.8000,1.0000
XC134014-edited,0.3968,0.4683,0.3968
XC144024,0.6667,1.0000,0.6667
XC159959,0.8071,0.8571,0.7952
XC172881,0.0000,0.0000,0.0000
XC215372,0.8889,0.8889,0.6667
XC271361,0.5889,0.5889,0.3333
XC801172-edited,0.8690,0.8690,0.8274
XC812929,0.7536,0.7952,0.6179
