class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.995,1.000,1.000,0.719,32,23.0,0.0
ALFL,0.824,0.959,0.917,0.478,46,22.0,2.0
AMBI,0.635,0.971,1.000,0.333,9,3.0,0.0
AMCR,0.809,0.970,1.000,0.240,25,6.0,0.0
AMRO,0.795,0.956,1.000,0.333,12,4.0,0.0
BADO,0.901,0.997,0.944,0.773,22,17.0,1.0
BBWA,0.915,0.999,1.000,0.500,6,3.0,0.0
BCCH,0.901,0.999,0.818,0.900,10,9.0,2.0
BEKI,0.931,0.998,1.000,0.500,8,4.0,0.0
BLJA,0.837,0.991,0.857,0.300,20,6.0,1.0
BRCR,0.587,0.993,0.600,0.214,14,3.0,2.0
BTNW,0.985,1.000,1.000,0.684,19,13.0,0.0
CANG,0.841,0.998,0.750,0.500,6,3.0,1.0
CEDW,0.812,0.986,1.000,0.261,23,6.0,0.0
CHSP,0.941,0.987,1.000,0.500,54,27.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,0.833,6,5.0,0.0
COYE,0.944,0.993,1.000,0.773,22,17.0,0.0
DEJU,0.750,0.991,0.833,0.455,11,5.0,1.0
EAKI,0.957,0.999,1.000,0.714,7,5.0,0.0
EATO,0.915,0.999,1.000,0.636,11,7.0,0.0
EAWP,0.970,0.998,1.000,0.733,30,22.0,0.0
FISP,0.844,0.963,1.000,0.583,12,7.0,0.0
GCKI,0.682,0.986,1.000,0.500,12,6.0,0.0
GHOW,0.658,0.822,1.000,0.286,28,8.0,0.0
HETH,0.543,0.824,0.667,0.093,43,4.0,2.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.982,0.999,1.000,0.652,23,15.0,0.0
NOFL,0.981,1.000,1.000,0.800,10,8.0,0.0
OVEN,0.912,0.991,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,0.909,11,10.0,0.0
RBNU,0.861,0.979,1.000,0.231,13,3.0,0.0
RWBL,0.938,0.994,1.000,0.459,37,17.0,0.0
SWSP,0.820,0.952,1.000,0.333,39,13.0,0.0
SWTH,0.948,0.999,0.818,0.900,10,9.0,2.0
TEWA,0.857,0.950,1.000,0.391,46,18.0,0.0
TRUS,0.910,0.998,0.000,0.000,8,0.0,0.0
VEER,0.893,0.999,1.000,0.250,4,1.0,0.0
WAVI,1.000,1.000,1.000,0.500,10,5.0,0.0
WETA,1.000,1.000,1.000,0.818,11,9.0,0.0
WISN,0.874,0.976,1.000,0.419,31,13.0,0.0
WIWA,0.893,0.998,0.857,0.667,9,6.0,1.0
WIWR,1.000,1.000,1.000,0.879,33,29.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.773,0.910,0.909,0.233,43,10.0,1.0
YEWA,0.919,0.980,1.000,0.375,16,6.0,0.0
