threshold,precision,recall
0.323,0.855,0.766
0.326,0.856,0.766
0.328,0.856,0.765
0.330,0.858,0.765
0.336,0.859,0.762
0.337,0.860,0.762
0.341,0.863,0.762
0.346,0.863,0.761
0.348,0.864,0.761
0.349,0.864,0.760
0.351,0.865,0.759
0.354,0.865,0.757
0.355,0.866,0.757
0.356,0.866,0.755
0.357,0.867,0.755
0.361,0.868,0.755
0.366,0.868,0.754
0.367,0.869,0.754
0.368,0.871,0.754
0.369,0.872,0.753
0.373,0.872,0.752
0.374,0.874,0.752
0.377,0.874,0.751
0.378,0.875,0.750
0.379,0.878,0.750
0.380,0.878,0.749
0.381,0.879,0.749
0.383,0.880,0.747
0.390,0.882,0.747
0.391,0.884,0.746
0.393,0.888,0.744
0.394,0.888,0.743
0.395,0.887,0.742
0.397,0.889,0.742
0.398,0.888,0.741
0.399,0.888,0.738
0.400,0.888,0.737
0.402,0.889,0.737
0.403,0.889,0.735
0.409,0.889,0.734
0.410,0.888,0.731
0.411,0.890,0.731
0.414,0.890,0.730
0.416,0.889,0.729
0.419,0.892,0.729
0.422,0.893,0.729
0.423,0.894,0.729
0.425,0.894,0.728
0.427,0.894,0.726
0.428,0.895,0.726
0.429,0.895,0.724
0.431,0.898,0.724
0.433,0.897,0.723
0.434,0.900,0.723
0.435,0.900,0.722
0.436,0.901,0.722
0.437,0.902,0.722
0.440,0.904,0.722
0.442,0.904,0.721
0.446,0.903,0.720
0.449,0.905,0.720
0.451,0.907,0.720
0.453,0.907,0.719
0.455,0.908,0.718
0.456,0.908,0.715
0.457,0.908,0.714
0.465,0.908,0.713
0.466,0.909,0.713
0.470,0.912,0.713
0.471,0.913,0.712
0.473,0.914,0.712
0.475,0.916,0.712
0.486,0.917,0.710
0.487,0.918,0.710
0.489,0.918,0.708
0.492,0.920,0.708
0.493,0.919,0.707
0.499,0.919,0.706
0.501,0.921,0.706
0.502,0.922,0.706
0.503,0.923,0.706
0.504,0.925,0.705
0.505,0.925,0.704
0.508,0.924,0.703
0.510,0.924,0.701
0.511,0.924,0.700
0.513,0.924,0.698
0.514,0.924,0.697
0.515,0.925,0.697
0.517,0.925,0.696
0.518,0.925,0.695
0.519,0.926,0.695
0.520,0.926,0.693
0.524,0.926,0.692
0.525,0.926,0.691
0.526,0.928,0.691
0.529,0.927,0.689
0.533,0.929,0.688
0.534,0.930,0.688
0.535,0.930,0.685
0.539,0.930,0.684
0.542,0.929,0.681
0.546,0.929,0.680
0.547,0.929,0.679
0.550,0.929,0.677
0.554,0.929,0.676
0.555,0.929,0.675
0.558,0.929,0.674
0.561,0.929,0.673
0.565,0.929,0.672
0.566,0.928,0.670
0.569,0.930,0.670
0.571,0.931,0.668
0.574,0.931,0.665
0.575,0.931,0.662
0.576,0.932,0.662
0.578,0.932,0.661
0.579,0.934,0.661
0.584,0.933,0.660
0.587,0.933,0.659
0.588,0.933,0.658
0.592,0.933,0.656
0.593,0.933,0.654
0.594,0.933,0.652
0.595,0.932,0.650
0.599,0.932,0.649
0.602,0.934,0.648
0.605,0.934,0.645
0.607,0.933,0.642
0.608,0.933,0.641
0.610,0.933,0.639
0.613,0.933,0.638
0.614,0.933,0.636
0.615,0.934,0.636
0.621,0.934,0.635
0.623,0.934,0.633
0.627,0.934,0.631
0.628,0.934,0.630
0.629,0.935,0.629
0.630,0.938,0.629
0.631,0.940,0.628
0.632,0.943,0.628
0.633,0.945,0.627
0.635,0.946,0.627
0.636,0.946,0.626
0.639,0.946,0.625
0.640,0.946,0.623
0.643,0.948,0.623
0.645,0.947,0.621
0.646,0.947,0.619
0.649,0.947,0.618
0.652,0.947,0.617
0.656,0.947,0.615
0.658,0.949,0.614
0.659,0.950,0.614
0.661,0.952,0.614
0.662,0.952,0.613
0.667,0.954,0.613
0.670,0.953,0.612
0.671,0.953,0.611
0.673,0.953,0.610
0.674,0.953,0.608
0.675,0.953,0.607
0.676,0.953,0.606
0.677,0.953,0.605
0.678,0.953,0.604
0.682,0.953,0.603
0.684,0.953,0.602
0.685,0.953,0.599
0.689,0.952,0.597
0.690,0.952,0.596
0.691,0.952,0.595
0.692,0.952,0.594
0.695,0.952,0.592
0.698,0.952,0.591
0.699,0.952,0.590
0.700,0.952,0.589
0.701,0.952,0.588
0.705,0.951,0.586
0.706,0.951,0.583
0.707,0.951,0.582
0.708,0.951,0.581
0.709,0.951,0.580
0.713,0.951,0.577
0.714,0.953,0.577
0.715,0.953,0.576
0.716,0.954,0.573
0.717,0.954,0.571
0.721,0.956,0.571
0.725,0.958,0.569
0.727,0.959,0.569
0.728,0.959,0.568
0.730,0.959,0.567
0.734,0.959,0.566
0.735,0.959,0.564
0.736,0.959,0.561
0.737,0.959,0.560
0.738,0.959,0.558
0.743,0.958,0.556
0.744,0.958,0.555
0.747,0.958,0.553
0.749,0.958,0.552
0.750,0.960,0.551
0.751,0.960,0.550
0.752,0.960,0.548
0.754,0.960,0.545
0.755,0.960,0.544
0.756,0.959,0.543
0.757,0.959,0.541
0.760,0.959,0.540
0.761,0.959,0.536
0.762,0.959,0.535
0.764,0.959,0.534
0.768,0.959,0.533
0.769,0.959,0.532
0.771,0.958,0.529
0.775,0.958,0.528
0.776,0.958,0.527
0.777,0.958,0.526
0.778,0.958,0.524
0.779,0.960,0.522
0.780,0.962,0.521
0.782,0.962,0.519
0.783,0.962,0.517
0.788,0.961,0.515
0.789,0.961,0.513
0.790,0.961,0.512
0.791,0.961,0.509
0.792,0.963,0.509
0.794,0.963,0.507
0.795,0.965,0.505
0.796,0.965,0.504
0.797,0.965,0.503
0.798,0.965,0.502
0.800,0.965,0.499
0.803,0.964,0.498
0.804,0.964,0.497
0.805,0.966,0.495
0.806,0.966,0.493
0.807,0.966,0.491
0.808,0.966,0.490
0.809,0.966,0.488
0.810,0.966,0.487
0.813,0.966,0.486
0.814,0.966,0.482
0.815,0.965,0.481
0.816,0.965,0.480
0.817,0.965,0.479
0.820,0.965,0.476
0.822,0.965,0.474
0.823,0.967,0.473
0.824,0.969,0.473
0.825,0.969,0.472
0.826,0.969,0.471
0.827,0.969,0.470
0.829,0.969,0.468
0.830,0.969,0.467
0.831,0.969,0.465
0.832,0.969,0.464
0.835,0.969,0.463
0.836,0.969,0.460
0.837,0.968,0.457
0.838,0.968,0.456
0.839,0.968,0.454
0.841,0.971,0.454
0.843,0.973,0.451
0.844,0.975,0.450
0.846,0.978,0.450
0.847,0.977,0.448
0.848,0.977,0.447
0.849,0.977,0.444
0.851,0.977,0.443
0.853,0.977,0.442
0.854,0.977,0.441
0.856,0.977,0.439
0.860,0.977,0.437
0.861,0.977,0.436
0.862,0.977,0.433
0.863,0.979,0.429
0.864,0.979,0.427
0.865,0.979,0.425
0.866,0.979,0.424
0.867,0.981,0.419
0.868,0.981,0.417
0.870,0.981,0.416
0.871,0.981,0.414
0.872,0.981,0.412
0.874,0.981,0.410
0.875,0.983,0.406
0.876,0.983,0.404
0.877,0.983,0.400
0.878,0.983,0.396
0.880,0.983,0.394
0.881,0.983,0.393
0.882,0.983,0.390
0.883,0.983,0.388
0.884,0.983,0.387
0.885,0.982,0.385
0.886,0.982,0.383
0.888,0.982,0.382
0.890,0.982,0.378
0.893,0.982,0.377
0.894,0.982,0.370
0.896,0.985,0.370
0.897,0.985,0.369
0.898,0.985,0.367
0.899,0.984,0.363
0.900,0.984,0.359
0.901,0.984,0.352
0.902,0.984,0.350
0.903,0.984,0.346
0.905,0.984,0.344
0.906,0.984,0.343
0.907,0.983,0.342
0.908,0.983,0.338
0.909,0.983,0.335
0.910,0.983,0.332
0.911,0.983,0.330
0.912,0.983,0.327
0.913,0.983,0.324
0.914,0.982,0.321
0.915,0.986,0.320
0.916,0.986,0.315
0.917,0.989,0.311
0.918,0.989,0.308
0.919,0.989,0.304
0.920,0.989,0.303
0.921,0.989,0.302
0.922,0.992,0.299
0.923,0.992,0.296
0.924,0.992,0.292
0.925,0.992,0.289
0.927,0.992,0.286
0.928,0.992,0.280
0.929,0.992,0.276
0.930,0.992,0.273
0.931,0.992,0.270
0.932,0.991,0.268
0.933,0.991,0.264
0.934,0.991,0.261
0.935,0.991,0.253
0.936,0.991,0.250
0.937,0.991,0.245
0.938,0.991,0.241
0.939,0.990,0.238
0.940,0.990,0.232
0.941,0.990,0.230
0.942,0.990,0.228
0.944,0.990,0.226
0.945,0.990,0.225
0.946,0.990,0.222
0.947,0.990,0.219
0.948,0.990,0.217
0.949,0.989,0.208
0.950,0.989,0.206
0.951,0.994,0.200
0.952,0.994,0.193
0.953,0.994,0.188
0.954,0.994,0.187
0.955,0.994,0.185
0.956,0.994,0.180
0.957,0.994,0.179
0.958,0.994,0.177
0.959,0.993,0.173
0.960,0.993,0.166
0.961,0.993,0.162
0.962,0.993,0.156
0.963,0.992,0.152
0.964,0.992,0.147
0.965,0.992,0.144
0.966,0.992,0.140
0.967,0.992,0.135
0.968,0.991,0.132
0.969,0.991,0.130
0.970,0.991,0.124
0.971,0.991,0.123
0.972,0.990,0.116
0.973,0.990,0.114
0.974,0.989,0.108
0.975,0.989,0.107
0.976,0.989,0.102
0.977,0.988,0.098
0.978,1.000,0.095
0.979,1.000,0.094
0.980,1.000,0.090
0.981,1.000,0.087
0.982,1.000,0.076
0.983,1.000,0.071
0.984,1.000,0.067
0.985,1.000,0.065
0.986,1.000,0.063
0.987,1.000,0.055
0.988,1.000,0.049
0.989,1.000,0.041
0.990,1.000,0.038
0.991,1.000,0.037
0.992,1.000,0.030
0.993,1.000,0.025
0.994,1.000,0.023
0.995,1.000,0.018
0.996,1.000,0.016
0.997,1.000,0.010
0.998,1.000,0.005
0.999,1.000,0.003
