recording,iou_max,iou_0.60,iou_0.80
N100056,0.4444,0.5500,0.4444
N106834-edited,0.6595,0.4257,0.6595
N128080,0.2558,0.2396,0.2558
N16767-edited,0.8667,0.6190,0.8667
N22158-edited,0.6334,0.6741,0.6334
N22971-edited,0.5827,0.5149,0.5827
N23417-edited,0.7619,0.7071,0.7619
N23493-edited,0.5798,0.4071,0.5798
N250512,0.6667,0.3250,0.6667
N3568,0.9231,0.7279,0.9231
N37429,0.3455,0.2611,0.3455
N38268,0.7869,0.6448,0.7869
N38516,0.6323,0.5710,0.6323
N39306,0.7985,0.6403,0.7985
N41312-edited,0.6349,0.5500,0.6349
N41564,0.2000,0.3167,0.2000
N44587-edited,0.5833,0.3083,0.5833
N460551,0.4167,0.1360,0.4167
N488610,0.6458,0.4792,0.6458
N500951,0.2778,0.1000,0.2778
N6682-edited,0.6111,0.5000,0.6111
N737290,0.5800,0.2479,0.5800
N98507,0.6111,0.4167,0.6111
XC109766,0.8958,0.5243,0.8958
XC109767,0.7958,0.5251,0.7958
XC109769,0.7652,0.6899,0.7652
XC114554,1.0000,0.6667,1.0000
XC134014-edited,0.3968,0.5318,0.3968
XC144024,0.6667,0.5000,0.6667
XC159959,0.6940,0.6017,0.6940
XC172881,0.3333,0.5000,0.3333
XC215372,0.3000,0.2414,0.3000
XC271361,0.2833,0.4667,0.2833
XC801172-edited,0.9583,0.6611,0.9583
XC812929,0.3338,0.5217,0.3338
