class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.977,0.998,0.967,0.906,32,29.0,1.0
ALFL,0.987,0.999,0.975,0.848,46,39.0,1.0
AMBI,0.706,0.974,1.000,0.556,9,5.0,0.0
AMCR,0.860,0.993,0.923,0.480,25,12.0,1.0
AMRO,0.926,0.999,0.900,0.750,12,9.0,1.0
BADO,0.975,0.999,0.952,0.909,22,20.0,1.0
BBWA,1.000,1.000,1.000,0.333,6,2.0,0.0
BCCH,0.900,0.997,0.818,0.900,10,9.0,2.0
BEKI,0.882,0.979,1.000,0.750,8,6.0,0.0
BLJA,0.924,0.997,0.917,0.550,20,11.0,1.0
BRCR,0.817,0.998,0.800,0.286,14,4.0,1.0
BTNW,0.974,0.999,1.000,0.895,19,17.0,0.0
CANG,0.931,0.999,0.833,0.833,6,5.0,1.0
CEDW,0.917,0.997,0.909,0.435,23,10.0,1.0
CHSP,0.916,0.989,1.000,0.593,54,32.0,0.0
CMWA,1.000,1.000,0.857,1.000,6,6.0,1.0
CORA,0.976,1.000,1.000,0.833,6,5.0,0.0
COYE,0.978,0.999,1.000,0.955,22,21.0,0.0
DEJU,0.768,0.984,1.000,0.636,11,7.0,0.0
EAKI,1.000,1.000,1.000,0.857,7,6.0,0.0
EATO,0.927,0.999,1.000,0.545,11,6.0,0.0
EAWP,0.992,1.000,0.963,0.867,30,26.0,1.0
FISP,0.988,1.000,1.000,0.750,12,9.0,0.0
GCKI,0.951,0.999,1.000,0.333,12,4.0,0.0
GHOW,0.773,0.980,1.000,0.179,28,5.0,0.0
HETH,0.704,0.934,1.000,0.279,43,12.0,0.0
NHWR,1.000,1.000,1.000,0.889,9,8.0,0.0
NOCA,0.985,0.999,1.000,0.870,23,20.0,0.0
NOFL,0.983,1.000,0.818,0.900,10,9.0,2.0
OVEN,1.000,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.995,1.000,1.000,0.769,13,10.0,0.0
RWBL,0.974,0.998,1.000,0.622,37,23.0,0.0
SWSP,0.898,0.987,1.000,0.359,39,14.0,0.0
SWTH,0.823,0.998,0.818,0.900,10,9.0,2.0
TEWA,0.889,0.972,1.000,0.522,46,24.0,0.0
TRUS,1.000,1.000,1.000,0.375,8,3.0,0.0
VEER,0.893,0.999,1.000,0.500,4,2.0,0.0
WAVI,0.962,0.999,1.000,0.500,10,5.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.938,0.983,1.000,0.613,31,19.0,0.0
WIWA,0.966,0.999,0.727,0.889,9,8.0,3.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.843,0.978,1.000,0.395,43,17.0,0.0
YEWA,0.874,0.997,0.889,0.500,16,8.0,1.0
