recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5833
N106834-edited,0.7952,0.8369,0.8250
N128080,0.5000,0.5000,0.5525
N16767-edited,0.8519,0.8222,0.8889
N22158-edited,0.8899,0.8899,0.8254
N22971-edited,0.7500,0.6208,0.6742
N23417-edited,0.9111,0.8833,0.8141
N23493-edited,0.7467,0.7800,0.6400
N250512,0.6806,0.6250,0.5556
N3568,1.0000,0.9231,0.9167
N37429,0.6250,0.6000,0.6250
N38268,0.9583,0.9583,0.9213
N38516,0.8792,0.8792,0.8683
N39306,0.8956,0.9264,0.9242
N41312-edited,0.7738,0.7738,0.8333
N41564,0.8000,0.5476,0.2500
N44587-edited,0.5556,0.6667,0.3889
N460551,1.0000,0.7500,1.0000
N488610,0.6250,0.7917,0.5417
N500951,0.5000,0.6667,0.5000
N6682-edited,0.6861,0.7927,0.7812
N737290,0.4110,0.4110,0.6333
N98507,0.7778,0.7778,0.5556
XC109766,0.9583,0.9583,0.9545
XC109767,0.9594,0.9359,0.9233
XC109769,0.9349,0.9682,0.9456
XC114554,1.0000,0.8889,0.8750
XC134014-edited,0.5286,0.5786,0.3968
XC144024,0.6667,0.7500,0.6667
XC159959,0.8214,0.8214,0.6464
XC172881,0.8333,0.7143,0.3333
XC215372,0.7778,0.7778,0.6111
XC271361,0.2667,0.2667,0.2500
XC801172-edited,0.9583,0.9583,0.8075
XC812929,0.7508,0.8175,0.6135
