threshold,true positive rate,false positive rate
0.310,0.879,0.008
0.311,0.879,0.007
0.312,0.877,0.007
0.313,0.876,0.007
0.314,0.876,0.007
0.315,0.875,0.007
0.316,0.874,0.007
0.317,0.873,0.007
0.318,0.873,0.007
0.319,0.873,0.007
0.321,0.873,0.007
0.322,0.873,0.007
0.323,0.873,0.007
0.324,0.873,0.007
0.325,0.873,0.007
0.326,0.873,0.007
0.328,0.873,0.007
0.329,0.873,0.007
0.330,0.871,0.007
0.332,0.871,0.006
0.333,0.871,0.006
0.335,0.869,0.006
0.338,0.869,0.006
0.339,0.868,0.006
0.340,0.867,0.006
0.341,0.867,0.006
0.342,0.867,0.006
0.343,0.865,0.006
0.344,0.863,0.006
0.345,0.863,0.006
0.346,0.862,0.006
0.347,0.862,0.006
0.348,0.860,0.006
0.349,0.860,0.006
0.350,0.860,0.006
0.351,0.859,0.006
0.352,0.859,0.006
0.353,0.859,0.006
0.354,0.858,0.006
0.355,0.858,0.006
0.356,0.858,0.006
0.357,0.856,0.006
0.360,0.856,0.005
0.361,0.855,0.005
0.363,0.853,0.005
0.365,0.853,0.005
0.366,0.852,0.005
0.368,0.852,0.005
0.370,0.852,0.005
0.371,0.852,0.005
0.372,0.852,0.005
0.373,0.850,0.005
0.374,0.850,0.005
0.375,0.848,0.005
0.377,0.848,0.004
0.378,0.847,0.004
0.386,0.847,0.004
0.388,0.845,0.004
0.389,0.845,0.004
0.390,0.845,0.004
0.391,0.844,0.004
0.392,0.843,0.004
0.399,0.843,0.004
0.401,0.842,0.004
0.407,0.842,0.004
0.409,0.842,0.004
0.412,0.842,0.004
0.413,0.839,0.004
0.415,0.838,0.004
0.422,0.838,0.003
0.424,0.838,0.003
0.425,0.838,0.003
0.429,0.835,0.003
0.430,0.835,0.003
0.432,0.835,0.003
0.433,0.834,0.003
0.434,0.834,0.003
0.435,0.832,0.003
0.438,0.830,0.003
0.439,0.830,0.003
0.442,0.829,0.003
0.443,0.829,0.003
0.446,0.827,0.003
0.447,0.827,0.003
0.449,0.825,0.003
0.450,0.824,0.003
0.453,0.823,0.003
0.458,0.821,0.003
0.460,0.821,0.003
0.464,0.821,0.003
0.467,0.821,0.003
0.469,0.820,0.003
0.472,0.820,0.003
0.476,0.817,0.003
0.478,0.817,0.003
0.479,0.816,0.003
0.481,0.816,0.003
0.482,0.814,0.003
0.483,0.814,0.003
0.486,0.813,0.003
0.487,0.813,0.003
0.494,0.811,0.002
0.495,0.811,0.002
0.500,0.811,0.002
0.502,0.809,0.002
0.504,0.808,0.002
0.508,0.807,0.002
0.513,0.807,0.002
0.514,0.805,0.002
0.515,0.805,0.002
0.518,0.805,0.002
0.520,0.804,0.002
0.521,0.804,0.002
0.523,0.803,0.002
0.524,0.801,0.002
0.528,0.801,0.002
0.529,0.799,0.002
0.532,0.798,0.002
0.537,0.798,0.002
0.538,0.797,0.002
0.539,0.794,0.002
0.547,0.794,0.002
0.548,0.794,0.002
0.555,0.791,0.002
0.556,0.791,0.001
0.558,0.790,0.001
0.560,0.790,0.001
0.561,0.789,0.001
0.564,0.789,0.001
0.565,0.788,0.001
0.566,0.788,0.001
0.567,0.784,0.001
