threshold,iou
0.0000,0.2381
0.0100,0.2381
0.0200,0.2256
0.0300,0.1946
0.0400,0.2423
0.0500,0.2544
0.0600,0.2759
0.0700,0.3086
0.0800,0.3307
0.0900,0.3468
0.1000,0.3583
0.1100,0.3587
0.1200,0.3833
0.1300,0.4075
0.1400,0.4193
0.1500,0.4502
0.1600,0.4569
0.1700,0.4703
0.1800,0.4634
0.1900,0.4664
0.2000,0.4737
0.2100,0.4705
0.2200,0.4799
0.2300,0.4954
0.2400,0.5081
0.2500,0.5041
0.2600,0.5024
0.2700,0.5183
0.2800,0.5235
0.2900,0.5244
0.3000,0.5309
0.3100,0.5406
0.3200,0.5497
0.3300,0.5507
0.3400,0.5422
0.3500,0.5572
0.3600,0.5547
0.3700,0.5606
0.3800,0.5692
0.3900,0.5836
0.4000,0.5928
0.4100,0.5974
0.4200,0.6098
0.4300,0.6123
0.4400,0.6150
0.4500,0.6243
0.4600,0.6266
0.4700,0.6171
0.4800,0.6128
0.4900,0.6020
0.5000,0.6004
0.5100,0.5972
0.5200,0.6146
0.5300,0.6176
0.5400,0.6358
0.5500,0.6292
0.5600,0.6416
0.5700,0.6583
0.5800,0.6657
0.5900,0.6798
0.6000,0.6840
0.6100,0.6999
0.6200,0.7056
0.6300,0.7055
0.6400,0.7004
0.6500,0.7103
0.6600,0.7241
0.6700,0.7250
0.6800,0.7393
0.6900,0.7370
0.7000,0.7308
0.7100,0.7320
0.7200,0.7395
0.7300,0.7578
0.7400,0.7477
0.7500,0.7470
0.7600,0.7445
0.7700,0.7280
0.7800,0.7248
0.7900,0.7058
0.8000,0.7000
0.8100,0.6969
0.8200,0.6823
0.8300,0.6836
0.8400,0.6675
0.8500,0.6580
0.8600,0.6450
0.8700,0.6427
0.8800,0.6249
0.8900,0.5954
0.9000,0.5828
0.9100,0.5354
0.9200,0.4737
0.9300,0.4062
0.9400,0.3364
0.9500,0.2435
0.9600,0.1645
0.9700,0.0672
0.9800,0.0280
0.9900,0.0000
1.0000,0.0000
