recording,iou_max,iou_0.60,iou_0.80
N100056,0.7917,0.9167,0.5833
N106834-edited,0.8667,0.7143,0.8250
N128080,0.5111,0.4792,0.5116
N16767-edited,0.9296,0.7722,0.8593
N22158-edited,0.6638,0.7996,0.9744
N22971-edited,0.6742,0.6273,0.6298
N23417-edited,0.8098,0.7741,0.8023
N23493-edited,0.6067,0.6800,0.5733
N250512,0.6889,0.5556,0.5556
N3568,0.9583,0.9231,0.9167
N37429,0.5833,0.4333,0.5833
N38268,0.9213,0.9583,0.9213
N38516,0.9156,0.8836,0.8733
N39306,0.9372,0.7541,0.9075
N41312-edited,0.8333,0.7738,0.8333
N41564,1.0000,0.5833,0.3333
N44587-edited,0.4444,0.5556,0.4444
N460551,0.5333,0.2381,0.6333
N488610,0.7917,0.7750,0.6250
N500951,0.6667,0.5000,0.5000
N6682-edited,0.9062,0.6150,0.8438
N737290,0.6467,0.4065,0.6667
N98507,0.7222,0.6667,0.5000
XC109766,0.9545,0.9583,0.8377
XC109767,0.9302,0.9545,0.8642
XC109769,0.9431,0.9326,0.9542
XC114554,1.0000,1.0000,0.7500
XC134014-edited,0.4683,0.5389,0.3968
XC144024,0.6667,0.6000,0.6667
XC159959,0.8012,0.8929,0.8012
XC172881,0.8333,0.8333,0.0000
XC215372,0.5556,0.6111,0.5556
XC271361,0.2500,0.2000,0.2500
XC801172-edited,0.9107,0.9583,0.8690
XC812929,0.6708,0.6853,0.4181
